"index","type","start","end","text"
"0","cue","00:00:06,000","00:00:07,320","[melodic chime]"
"1","cue","00:00:12,000","00:00:13,280","<i>♪ So party up ♪</i>"
"2","cue","00:00:13,360","00:00:15,440","<i>♪ Party up now, baby... ♪</i>"
"3","cue","00:00:16,000","00:00:18,200","[Bryce groans and sighs]
I'm gonna miss Lana."
"4","cue","00:00:18,280","00:00:20,040","It's invaluable,
the lessons we've learned."
"5","cue","00:00:20,120","00:00:21,960","I will leave richer than what I came in."
"6","cue","00:00:22,040","00:00:25,160","- Internally, mentally. Definitely.
- Yeah. Hundred percent."
"7","cue","00:00:25,240","00:00:27,120","I'm gonna make all my friends
do the same thing."
"8","cue","00:00:27,160","00:00:30,120","Like, sorry, no touching
at the boat parties now."
"9","cue","00:00:30,200","00:00:31,440","[laughter]"
"10","cue","00:00:31,520","00:00:34,120","<i>That's right, people.
It's the season finale,</i>"
"11","cue","00:00:34,200","00:00:37,920","<i>and in 56 hours,
the retreat will all be over.</i>"
"12","cue","00:00:38,640","00:00:39,840","Gotta tell you this, though,"
"13","cue","00:00:40,920","00:00:42,880","I'm starting to think about the money
a bit again."
"14","cue","00:00:42,920","00:00:43,760","Yeah."
"15","cue","00:00:43,840","00:00:46,440","<i>♪ 'Cause it's all about the money,
money, money ♪</i>"
"16","cue","00:00:47,120","00:00:49,520","<i>Ah, the money, of course.</i>"
"17","cue","00:00:49,600","00:00:52,040","<i>Before returning the residents
to the real world,</i>"
"18","cue","00:00:52,120","00:00:55,440","<i>Lana will announce the winner
and allocate the prize fund.</i>"
"19","cue","00:00:55,880","00:00:58,240","<i>The question is, who will it be?</i>"
"20","cue","00:00:58,320","00:01:01,200","- We don't know how the money's gonna go.
- Right."
"21","cue","00:01:01,760","00:01:06,040","I don't know what Lana's gonna say.
It might be one winner or two winners."
"22","cue","00:01:06,120","00:01:09,680","I don't know if I have
as good of a shot as anybody,"
"23","cue","00:01:09,880","00:01:11,760","or if it's gonna go to a couple,"
"24","cue","00:01:11,840","00:01:13,080","or something like that."
"25","cue","00:01:13,160","00:01:14,760","At this point, I don't know at all."
"26","cue","00:01:15,320","00:01:17,920","<i>And something tells me
Lana is gonna keep you guessing.</i>"
"27","cue","00:01:19,320","00:01:21,240","<i>♪ Money, money ♪</i>"
"28","cue","00:01:21,640","00:01:23,160","<i>♪ Just can't get enough ♪</i>"
"29","cue","00:01:23,600","00:01:25,480","<i>♪ Money, money ♪</i>"
"30","cue","00:01:25,560","00:01:27,400","<i>♪ I just can't give it up ♪</i>"
"31","cue","00:01:27,760","00:01:30,080","<i>♪ Money, money... ♪</i>"
"32","cue","00:01:30,160","00:01:31,280","[melodic chime]"
"33","cue","00:01:34,280","00:01:35,840","<i>♪ Leave it to the haters ♪</i>"
"34","cue","00:01:35,920","00:01:37,440","<i>♪ I never wanna be like that ♪</i>"
"35","cue","00:01:37,520","00:01:42,160","<i>The prize fund, which once stood proud
at a whopping $100,000,</i>"
"36","cue","00:01:42,240","00:01:45,520","<i>has flopped to a teeny-weeny 43K.</i>"
"37","cue","00:01:45,920","00:01:47,760","<i>Largely thanks to this pair.</i>"
"38","cue","00:01:48,600","00:01:51,600","We've been trying to hold out.
Sorry that we're hot as fuck,"
"39","cue","00:01:51,680","00:01:53,961","and we want to tear each other apart
like a roast chicken."
"40","cue","00:01:54,000","00:01:56,000","- [Harry growls]
- But it was the times that we..."
"41","cue","00:01:56,200","00:01:57,560","People suck!"
"42","cue","00:01:58,160","00:02:00,440","Thank you for standing up for me.
I really appreciate it."
"43","cue","00:02:00,520","00:02:04,320","Every time Harry and I have spent money,
we've came out of it really strong,"
"44","cue","00:02:04,400","00:02:07,280","and the fact no one can see that,
or understand that,"
"45","cue","00:02:07,360","00:02:10,640","or even care to understand that,
really pisses me off."
"46","cue","00:02:11,120","00:02:13,080","How much do you think a foot job would be?"
"47","cue","00:02:13,840","00:02:16,680","I don't know if I'm into that,
but if it's cheaper, I'm gonna do it."
"48","cue","00:02:16,760","00:02:18,000","- [they giggle]
<i>- Ah...</i>"
"49","cue","00:02:18,080","00:02:20,640","<i>trying to figure out
what a foot job would cost.</i>"
"50","cue","00:02:20,720","00:02:22,360","<i>And they say romance is dead.</i>"
"51","cue","00:02:22,520","00:02:23,680","<i>♪ Just a little bit ♪</i>"
"52","cue","00:02:23,760","00:02:25,080","<i>♪ Just a little, ooh ♪</i>"
"53","cue","00:02:25,160","00:02:26,440","<i>♪ When it comes to your love ♪</i>"
"54","cue","00:02:26,520","00:02:27,840","<i>Speaking of romance,</i>"
"55","cue","00:02:27,920","00:02:30,880","<i>Sharron and Rhonda have managed
to score themselves a yacht,</i>"
"56","cue","00:02:30,960","00:02:32,440","<i>and a bottle of champagne.</i>"
"57","cue","00:02:32,880","00:02:35,480","<i>A taste of the life that awaits them...
if they win.</i>"
"58","cue","00:02:37,760","00:02:39,760","There's no one else
I would rather be here with..."
"59","cue","00:02:40,280","00:02:42,320","um, in the middle of the ocean."
"60","cue","00:02:42,760","00:02:44,360","<i>Sharron is being so sweet,</i>"
"61","cue","00:02:44,760","00:02:45,920","<i>I think I might barf.</i>"
"62","cue","00:02:48,200","00:02:49,480","Fucking hell."
"63","cue","00:02:50,400","00:02:52,520","<i>Probably not before Rhonda does, though.</i>"
"64","cue","00:02:53,000","00:02:54,720","This is a journey that..."
"65","cue","00:02:55,360","00:02:56,720","I'm never gonna forget."
"66","cue","00:02:57,160","00:02:59,400","'Cause coming into the retreat,"
"67","cue","00:02:59,480","00:03:01,960","my trust with guys was not really there."
"68","cue","00:03:02,480","00:03:06,480","Day one,
I never would've seen this happening."
"69","cue","00:03:06,560","00:03:09,600","Definitely didn't see that
it would've been with Sharron."
"70","cue","00:03:09,800","00:03:12,920","It's like, you never know what Lana,
or God, has in store."
"71","cue","00:03:13,000","00:03:15,160","<i>I'm always getting those two mixed up.</i>"
"72","cue","00:03:15,680","00:03:18,440","The retreat is... coming to an end."
"73","cue","00:03:18,520","00:03:21,720","Life outside of here, it's not something
we've really talked about, but..."
"74","cue","00:03:22,280","00:03:23,560","I don't wanna lose you."
"75","cue","00:03:23,640","00:03:26,840","I want you to know this is real.
Like, this is what I want."
"76","cue","00:03:28,200","00:03:31,640","Never in a million years did I think
that I was gonna find someone"
"77","cue","00:03:31,720","00:03:33,440","that was gonna change my whole mindset."
"78","cue","00:03:33,520","00:03:35,600","I know what I'm here for,
I know what I came to do."
"79","cue","00:03:36,280","00:03:38,040","<i>Oh, this sounds interesting.</i>"
"80","cue","00:03:38,920","00:03:41,080","I have a question
that I would like to ask you."
"81","cue","00:03:44,080","00:03:46,120","- Would you...
- [she giggles]"
"82","cue","00:03:46,840","00:03:48,040","...be my girlfriend?"
"83","cue","00:03:51,000","00:03:52,000","I do."
"84","cue","00:03:52,680","00:03:53,680","[""Wedding March"" plays]"
"85","cue","00:03:53,760","00:03:56,360","<i>I don't think
he was popping </i>that <i>question.</i>"
"86","cue","00:03:56,440","00:03:59,760","You saying it like you getting married,
girl! Wait! We ain't that far yet."
"87","cue","00:03:59,840","00:04:00,960","[he laughs]"
"88","cue","00:04:01,040","00:04:03,920","I feel like a little-ass kid,
""Would you be my girlfriend?"""
"89","cue","00:04:04,000","00:04:05,560","- Yes.
- For real?"
"90","cue","00:04:06,320","00:04:07,160","Definitely."
"91","cue","00:04:07,240","00:04:08,320","Thank you."
"92","cue","00:04:09,320","00:04:10,440","I'm married!"
"93","cue","00:04:12,160","00:04:15,600","No, I'm not, but now,
with Sharron, it's official."
"94","cue","00:04:16,360","00:04:19,520","The fact that he felt
like overcoming his biggest fear"
"95","cue","00:04:19,600","00:04:23,040","of getting in another relationship,
and he chose me to do it with,"
"96","cue","00:04:23,120","00:04:24,720","I couldn't be happier."
"97","cue","00:04:26,320","00:04:29,560","I don't think I'm perfect.
I do think I'm perfect for you, though."
"98","cue","00:04:29,640","00:04:30,720","[melodic chime]"
"99","cue","00:04:30,800","00:04:33,800","<i>Looks like Lana, or God,
likes what they see.</i>"
"100","cue","00:04:34,240","00:04:35,240","Thanks, Lana."
"101","cue","00:04:39,600","00:04:42,040","By me asking Rhonda to be my girl,"
"102","cue","00:04:42,120","00:04:45,480","I felt like I've overcome
one of the biggest barriers in my life."
"103","cue","00:04:45,800","00:04:49,000","And Rhonda's the perfect person,
because she's the yin to my yang."
"104","cue","00:04:49,080","00:04:51,400","Together, we've blossomed
into something beautiful."
"105","cue","00:04:52,960","00:04:55,120","<i>Ah, Lana will be pleased.</i>"
"106","cue","00:04:55,200","00:04:57,120","<i>It was worth paying for that yacht
after all.</i>"
"107","cue","00:04:57,960","00:05:00,360","<i>♪ Gonna have one helluva party</i> ♪"
"108","cue","00:05:01,280","00:05:03,240","<i>♪ One helluva night... ♪</i>"
"109","cue","00:05:04,120","00:05:06,040","- Party time!
- It's lit."
"110","cue","00:05:06,120","00:05:07,520","Party."
"111","cue","00:05:09,040","00:05:12,800","<i>Time is running out, and the producers
are running out of ideas.</i>"
"112","cue","00:05:12,880","00:05:15,560","<i>So they've ticked off one more
reality cliche...</i>"
"113","cue","00:05:15,640","00:05:16,640","Yes!"
"114","cue","00:05:17,000","00:05:19,320","<i>...by throwing everyone a white party.</i>"
"115","cue","00:05:19,560","00:05:21,640","Here we go. White party, baby."
"116","cue","00:05:23,160","00:05:26,520","We should take this moment
to take a cheers to a successful retreat,"
"117","cue","00:05:26,600","00:05:29,760","to incredible relationships,
to deep bonds."
"118","cue","00:05:29,840","00:05:30,960","<i>Well said, Sharron.</i>"
"119","cue","00:05:31,040","00:05:33,920","<i>You've all come so far
and learned so much.</i>"
"120","cue","00:05:34,000","00:05:35,640","<i>Let loose. You've earned it.</i>"
"121","cue","00:05:35,720","00:05:38,280","Don't get me to start dancing.
I'll never stop."
"122","cue","00:05:38,360","00:05:39,240","[upbeat music plays]"
"123","cue","00:05:39,320","00:05:42,200","<i>♪ Just take me to the sky ♪</i>"
"124","cue","00:05:42,880","00:05:45,920","<i>♪ Just take me to the sky ♪</i>"
"125","cue","00:05:46,440","00:05:49,240","<i>♪ Just take me to the sky ♪</i>"
"126","cue","00:05:50,320","00:05:53,520","<i>♪ Just take me to the sky ♪</i>"
"127","cue","00:05:53,680","00:05:55,040","[melodic chime]"
"128","cue","00:05:55,120","00:05:57,240","- [Francesca] What the f...
- [Sharron] Lana!"
"129","cue","00:05:58,440","00:06:00,160","[narrator] <i>Talk about being
a party pooper.</i>"
"130","cue","00:06:00,840","00:06:03,080","[Lana] <i>The process is almost over,</i>"
"131","cue","00:06:03,160","00:06:06,840","<i>and tonight I would like to reward
all of your hard work</i>"
"132","cue","00:06:06,920","00:06:10,360","<i>by giving you the chance
to win back money.</i>"
"133","cue","00:06:10,440","00:06:11,760","[they cheer]"
"134","cue","00:06:11,840","00:06:14,080","Oh, my God!"
"135","cue","00:06:14,480","00:06:16,440","[they cheer and whoop]"
"136","cue","00:06:16,520","00:06:17,640","Yes!"
"137","cue","00:06:19,400","00:06:23,480","I've actually never been so happy, like,
""Yes, Lana, giving us cash back."""
"138","cue","00:06:23,920","00:06:25,640","[narrator] <i>I feel a ""but"" coming.</i>"
"139","cue","00:06:26,440","00:06:28,600","- [Lana] <i>However...</i>
- [narrator] <i>Close enough.</i>"
"140","cue","00:06:28,960","00:06:33,640","[Lana] <i>...the fate of the group
lies in the hands of just two people...</i>"
"141","cue","00:06:36,320","00:06:38,760","<i>Harry and Francesca.</i>"
"142","cue","00:06:40,520","00:06:44,560","<i>You two have broken the rules
more than anybody else.</i>"
"143","cue","00:06:49,360","00:06:52,160","<i>Now you have the chance to make amends.</i>"
"144","cue","00:06:52,920","00:06:56,200","<i>Your challenge is to spend a night
in the private suite</i>"
"145","cue","00:06:56,640","00:06:59,400","<i>with no physical contact at all.</i>"
"146","cue","00:06:59,480","00:07:00,520","Fuck's sake."
"147","cue","00:07:00,600","00:07:01,880","No way."
"148","cue","00:07:02,560","00:07:04,720","[narrator] <i>Well, that's gone down
like a lead balloon.</i>"
"149","cue","00:07:05,080","00:07:07,200","[David] Here's your test.
You're not allowed to touch."
"150","cue","00:07:08,080","00:07:09,480","For Harry and Francesca..."
"151","cue","00:07:10,480","00:07:12,080","...I mean, that is tough."
"152","cue","00:07:12,160","00:07:14,576","- What does that mean, light touching?
- You can't touch at all."
"153","cue","00:07:14,600","00:07:16,280","- Not even like that?
- Better be careful."
"154","cue","00:07:16,360","00:07:21,120","Lana, I've no faith in either of
those people, Francesca or Harry,"
"155","cue","00:07:21,200","00:07:24,320","because they constantly
feck up the whole time."
"156","cue","00:07:24,760","00:07:28,000","[narrator] <i>Maybe that's the point, Nicole.
You know, redemption?</i>"
"157","cue","00:07:28,080","00:07:29,200","Why are you so disappointed?"
"158","cue","00:07:29,720","00:07:32,040","I get it. They're upset. They're jealous."
"159","cue","00:07:32,400","00:07:34,400","Me and Francesca have grown so much."
"160","cue","00:07:34,480","00:07:37,880","So, we need to resist
and control ourselves."
"161","cue","00:07:38,280","00:07:40,496","I probably won't manage that,
but I'm gonna give it a go."
"162","cue","00:07:40,520","00:07:41,880","[clicks tongue and laughs]"
"163","cue","00:07:43,160","00:07:44,760","[Lana] <i>If the test is passed,</i>"
"164","cue","00:07:44,880","00:07:48,160","<i>all the money
that Harry and Francesca have lost</i>"
"165","cue","00:07:48,800","00:07:51,280","<i>will be returned to the prize fund.</i>"
"166","cue","00:07:51,360","00:07:52,760","Thank you!"
"167","cue","00:07:52,840","00:07:55,840","You guys could earn $32,000."
"168","cue","00:07:56,240","00:08:00,320","That's so much money.
Like, I literally would chop off my arm."
"169","cue","00:08:00,400","00:08:02,080","How much do you think anal is?"
"170","cue","00:08:02,160","00:08:04,280","- Oh, my God!
- [Harry laughs]"
"171","cue","00:08:04,520","00:08:07,080","This is your opportunity
to prove everyone wrong,"
"172","cue","00:08:07,160","00:08:10,600","and this is the first thing that you say?
Is this some type of joke?"
"173","cue","00:08:11,600","00:08:15,640","[exhales deeply]"
"174","cue","00:08:16,800","00:08:18,280","[Kelz] This is a nightmare."
"175","cue","00:08:20,040","00:08:21,840","Just don't do anything stupid."
"176","cue","00:08:22,520","00:08:23,640","[Francesca gasps]"
"177","cue","00:08:23,720","00:08:25,720","I might as well file bankruptcy now, yeah?"
"178","cue","00:08:26,880","00:08:28,640","Stand ten feet apart at all times."
"179","cue","00:08:30,160","00:08:32,960","- Chill out! I can't make a joke?
- So many people with fucking..."
"180","cue","00:08:33,040","00:08:34,800","- So many tight-arses in the building.
- Wow."
"181","cue","00:08:35,920","00:08:37,840","We came here with zero dollars."
"182","cue","00:08:37,920","00:08:40,960","If you leave here with zero dollars,
nothing has changed."
"183","cue","00:08:41,400","00:08:43,200","Do you have the money?
Are you gonna win?"
"184","cue","00:08:43,280","00:08:44,520","Have you been growing?"
"185","cue","00:08:44,920","00:08:48,920","Don't think so. So, stop shitting on me.
See that I'm in love."
"186","cue","00:08:49,000","00:08:52,400","Let me live my life. Let me be happy,
and do your own thing."
"187","cue","00:08:52,480","00:08:54,320","I love how we get attacked
right off the bat."
"188","cue","00:08:54,400","00:08:57,040","Cheers, guys.
Thanks for having faith. We are off."
"189","cue","00:08:57,480","00:08:59,520","[David] We ain't gonna have
any money left tomorrow."
"190","cue","00:09:01,280","00:09:03,160","I hope that they just..."
"191","cue","00:09:03,240","00:09:05,440","One sleep in the tub,
one sleep in the bed."
"192","cue","00:09:05,520","00:09:06,920","I don't care what they do,"
"193","cue","00:09:07,000","00:09:08,720","but it's not impossible."
"194","cue","00:09:12,440","00:09:15,360","<i>Horny Harry and Frisky Francesca alone,</i>"
"195","cue","00:09:15,440","00:09:16,640","<i>in a sexy suite.</i>"
"196","cue","00:09:17,520","00:09:19,120","<i>What could possibly go wrong?</i>"
"197","cue","00:09:19,560","00:09:22,720","<i>♪ You like it better
with my lipstick off... ♪</i>"
"198","cue","00:09:23,840","00:09:26,440","- Ah! The suite.
- Oh, wow!"
"199","cue","00:09:26,720","00:09:28,496","- My old friend.
- I've never been here before."
"200","cue","00:09:28,520","00:09:29,720","Unfamiliar territory."
"201","cue","00:09:29,800","00:09:30,800","[he groans]"
"202","cue","00:09:31,720","00:09:35,320","[Harry] Francesca looks like
a little white Popsicle..."
"203","cue","00:09:35,400","00:09:36,280","[he inhales]"
"204","cue","00:09:36,360","00:09:38,840","...ready to be eaten up alive."
"205","cue","00:09:39,240","00:09:40,880","I know she's not wearing undies."
"206","cue","00:09:40,960","00:09:43,080","Fuck, Lana. Where's the green light?"
"207","cue","00:09:47,200","00:09:49,280","<i>Oh, that's where my whip went.</i>"
"208","cue","00:09:49,360","00:09:50,600","You stay there."
"209","cue","00:09:51,320","00:09:52,680","I'm doing the right thing."
"210","cue","00:09:54,240","00:09:55,760","So, if you come near me..."
"211","cue","00:09:58,560","00:10:00,680","Francesca! Francesca!"
"212","cue","00:10:01,840","00:10:02,880","Francesca!"
"213","cue","00:10:03,320","00:10:04,560","Get away from me!"
"214","cue","00:10:08,760","00:10:10,680","If these guys fuck this up,
they're done here."
"215","cue","00:10:11,320","00:10:12,920","Not only could they fuck up,"
"216","cue","00:10:13,000","00:10:15,680","- but they could drop us another 20K.
- Remember, it's just a touch."
"217","cue","00:10:16,000","00:10:17,680","Stop it!"
"218","cue","00:10:21,080","00:10:22,320","We're not losing money."
"219","cue","00:10:22,640","00:10:25,520","If they took this shit serious,
the minute they walk into the room,"
"220","cue","00:10:25,600","00:10:28,440","- they're splitting ways.
- Hundred percent. How hard is that?"
"221","cue","00:10:28,920","00:10:31,120","<i>Chill out, guys. They've got willpower.</i>"
"222","cue","00:10:31,200","00:10:33,680","<i>It's not like it's just
a random game of chance.</i>"
"223","cue","00:10:34,760","00:10:36,000","We have sex."
"224","cue","00:10:37,240","00:10:38,240","We don't have sex."
"225","cue","00:10:38,760","00:10:39,880","We have sex."
