"index","type","start","end","text"
"0","cue","00:00:05,960","00:00:09,840","[narrator] <i>Previously on</i>
Love Island Australia<i>…</i>"
"1","cue","00:00:13,000","00:00:15,040","This will be the hardest decision
I've had to make."
"2","cue","00:00:15,720","00:00:17,960","I do have to hurt someone."
"3","cue","00:00:18,600","00:00:20,680","[narrator]
<i>Vakoo and Phoebe made their choice…</i>"
"4","cue","00:00:20,760","00:00:24,640","The boy that I'd like to couple up with
is Jordan."
"5","cue","00:00:25,240","00:00:26,360","Callum."
"6","cue","00:00:26,440","00:00:30,280","[narrator] <i>…leaving Stella and Layla</i>
<i>single and vulnerable.</i>"
"7","cue","00:00:30,360","00:00:33,080","There is only one person who can save you."
"8","cue","00:00:33,160","00:00:36,280","[narrator] <i>That was new bomb Ben.</i>"
"9","cue","00:00:37,680","00:00:40,040","The girl I'd like to couple up with
is Stella."
"10","cue","00:00:40,920","00:00:44,720","Layla, darling, you've been left single
and you are now dumped from the island."
"11","cue","00:00:44,800","00:00:46,080","[cries]"
"12","cue","00:00:47,200","00:00:49,040","[narrator] <i>Laters, Layla!</i>"
"13","cue","00:00:52,800","00:00:54,760","<i>Tonight…</i>"
"14","cue","00:00:55,720","00:00:57,240","[Ben] Have you checked the weather?"
"15","cue","00:00:57,320","00:00:59,320","'Cause it's just as fine as yourself,
you know."
"16","cue","00:00:59,400","00:01:00,880","Oh, my God."
"17","cue","00:01:00,960","00:01:01,800","[narrator] <i>Tapas.</i>"
"18","cue","00:01:01,880","00:01:06,200","I had a great day with Maddy today.
I'm really excited to see where things go."
"19","cue","00:01:07,200","00:01:08,200","[narrator] <i>Tension.</i>"
"20","cue","00:01:09,720","00:01:12,680","When we first got together, you said
that you didn't want to cuddle me"
"21","cue","00:01:12,760","00:01:14,080","out of respect for Claudia."
"22","cue","00:01:14,160","00:01:16,080","Why don't you have that respect for me?"
"23","cue","00:01:16,160","00:01:17,560","[narrator] <i>Tears.</i>"
"24","cue","00:01:17,640","00:01:18,960","[Tak] You start questioning,"
"25","cue","00:01:19,040","00:01:21,440","""Are you good enough?
Are you who you thought you were?"""
"26","cue","00:01:21,520","00:01:26,120","[inhales] You're in a room full of people,
and you don't really exist."
"27","cue","00:01:27,080","00:01:29,200","[narrator] <i>And turmoil!</i>"
"28","cue","00:01:29,280","00:01:30,960","This is not gonna work
if there's no trust."
"29","cue","00:01:31,040","00:01:33,560","I have trust issues,
so what would you like me to do?"
"30","cue","00:01:33,640","00:01:35,000","There's no point."
