"index","type","start","end","text"
"0","cue","00:00:06,000","00:00:10,200","[narrator] <i>Previously on</i>
Love Island Australia…"
"1","cue","00:00:11,280","00:00:14,160","[Jason] Claudia and I dated for about
a year and when she sees me walk in,"
"2","cue","00:00:14,240","00:00:15,920","her jaw is gonna to drop to the floor."
"3","cue","00:00:16,000","00:00:18,760","[narrator] <i>A blast from Claudia's past…</i>"
"4","cue","00:00:18,840","00:00:20,360","That's my ex."
"5","cue","00:00:20,440","00:00:23,800","Why is he here?
I just don't understand what's going on."
"6","cue","00:00:23,880","00:00:26,240","[narrator] <i>…turned the villa on its ass.</i>"
"7","cue","00:00:26,320","00:00:27,640","[donkey braying]"
"8","cue","00:00:27,720","00:00:30,880","You've lied to my face, 'cause you've
told me that you and Jason haven't spoken."
"9","cue","00:00:30,960","00:00:33,240","And he's telling me you're
in Sydney together, you're in his bed."
"10","cue","00:00:33,320","00:00:34,600","Wait. Sorry, what?"
"11","cue","00:00:34,680","00:00:37,360","I see right through it
and she can't handle it. She hates it."
"12","cue","00:00:37,440","00:00:40,360","You're talking so much shit, Callum.
Right out of your ass."
"13","cue","00:00:40,440","00:00:42,160","-Sound.
-Just leave it."
"14","cue","00:00:42,240","00:00:44,400","At the end of the day,
Claudia's for Austen. It's irrelevant."
"15","cue","00:00:44,480","00:00:45,480","That's exactly right."
"16","cue","00:00:45,560","00:00:50,520","I think Callum's motto today when
he woke up was, ""Let's start some shit."""
"17","cue","00:00:55,280","00:00:57,400","[narrator] <i>Tonight…</i>"
"18","cue","00:00:58,280","00:01:00,360","He's only doing it
from the goodness of his own heart."
"19","cue","00:01:00,440","00:01:04,080","-Are you blinded? Are you serious?
-He means well, Claudia."
"20","cue","00:01:04,160","00:01:06,160","[narrator] <i>…the drama isn't over…</i>"
"21","cue","00:01:06,240","00:01:08,800","He's driving a wedge between us
and you don't even know it."
"22","cue","00:01:08,880","00:01:11,840","[narrator] <i>…as Al has Jess seeing red.</i>"
"23","cue","00:01:11,920","00:01:14,000","I'm so sick of hearing you say sorry."
"24","cue","00:01:14,080","00:01:18,240","You need to grow up and I think you need
to understand what commitment actually is."
"25","cue","00:01:18,320","00:01:20,200","As if I'm going to trust him after that."
"26","cue","00:01:21,840","00:01:24,440","[narrator] <i>And a brand new bomb…</i>"
"27","cue","00:01:25,200","00:01:27,920","<i>Wait. Is that reigning champion, Mitch?</i>"
"28","cue","00:01:28,000","00:01:29,360","That's Mitch."
"29","cue","00:01:30,320","00:01:31,400","It's Mitch!"
"30","cue","00:01:32,120","00:01:34,320","[narrator] <i>OMG, it's Mitch.</i>"
"31","cue","00:01:34,400","00:01:35,520","I'm, like, starstruck."
"32","cue","00:01:35,600","00:01:37,920","He is smoking hot."
"33","cue","00:01:38,000","00:01:40,080","So, I have a bit of a track record
for footie players."
"34","cue","00:01:40,160","00:01:41,480","[laughs]"
"35","cue","00:01:41,560","00:01:43,320","[Phoebe] He's my type to a tee."
"36","cue","00:01:43,400","00:01:45,040","This is my first real test."
"37","cue","00:01:46,440","00:01:47,640","[Mitchell] Look at the size of this guy."
"38","cue","00:01:47,720","00:01:50,360","-Put it away.
-It's too hot to wear clothes."
"39","cue","00:01:50,440","00:01:52,440","Necks are snapping right now."
"40","cue","00:01:52,520","00:01:55,080","[Mitch] Five out of the six girls pretty
much said they want to get to know me."
"41","cue","00:01:55,160","00:01:57,360","I don't really care
what's gone on the last few weeks,"
"42","cue","00:01:57,440","00:01:59,480","but, you know, <i>Love Island</i> starts today."
"43","cue","00:02:00,160","00:02:02,080","Surely he's in for like an hour
and that's it?"
"44","cue","00:02:02,160","00:02:03,640","[all laughing]"
"45","cue","00:02:24,720","00:02:25,880","Who said that?"
"46","cue","00:02:32,200","00:02:33,200","[Jason] Are you okay?"
"47","cue","00:02:33,800","00:02:35,520","-No. I'm not fucking okay.
-[Jason] Why?"
"48","cue","00:02:35,600","00:02:37,280","'Cause you're a fuckwit."
"49","cue","00:02:37,360","00:02:38,920","What the fuck is going on?"
"50","cue","00:02:40,240","00:02:41,520","Oh, my God."
"51","cue","00:02:41,600","00:02:42,760","-Jason.
-What?"
"52","cue","00:02:42,840","00:02:46,040","Did I say to you when I left,
to wait for me?"
"53","cue","00:02:47,880","00:02:50,720","-No.
-Callum, you've been a pot stirrer."
"54","cue","00:02:50,800","00:02:52,440","Don't come down here,
pointing the finger at me,"
"55","cue","00:02:52,520","00:02:54,040","accusing me of saying shit…"
"56","cue","00:02:54,120","00:02:56,440","-I'm sorry, I am gonna point at you.
-…'cause I haven't said anything."
"57","cue","00:02:56,520","00:02:58,840","You're talking so much shit, Callum.
Right out of your ass."
"58","cue","00:02:58,920","00:03:00,840","-Just leave it.
-Are you kidding me?"
"59","cue","00:03:00,920","00:03:02,080","I know. It's all right, though."
"60","cue","00:03:02,160","00:03:05,280","My fucking ex just walked in.
I don't need to talk to you about this."
"61","cue","00:03:11,520","00:03:17,400","[Claudia] I can't stand him.
I actually can't stand him. [echoing]"
"62","cue","00:03:26,240","00:03:29,240","[narrator] <i>Claudia thinks Callum's</i>
<i>a dipshit. Moon.</i>"
"63","cue","00:03:30,560","00:03:31,640","[Phoebe H] He has no fucking idea."
"64","cue","00:03:31,720","00:03:33,720","Why is he digging into shit
that's not his?"
"65","cue","00:03:33,800","00:03:36,200","[Claudia] He has nothing better to do.
I don't need to tell my life story."
"66","cue","00:03:36,280","00:03:40,600","If he wants to know what I ate
four years ago, I'm not gonna tell him."
"67","cue","00:03:40,680","00:03:42,880","-I'm like shaking.
-Yeah, but what the fuck."
"68","cue","00:03:42,960","00:03:45,720","Why are they talking about
stuff that happened--"
"69","cue","00:03:45,800","00:03:48,320","-But why does it matter?
-Exactly. Why does it matter?"
"70","cue","00:03:48,400","00:03:51,760","Why do you care?
It's got nothing to do with you."
"71","cue","00:03:51,840","00:03:54,840","It's Jason and I. And fucking Austen.
Fuck off."
"72","cue","00:03:55,480","00:03:57,160","-Are you okay? Why?
-No."
"73","cue","00:03:57,240","00:03:59,320","Because you're still acting
like Callum's completely fine"
"74","cue","00:03:59,400","00:04:01,160","and he has done
fucking wrong shit tonight."
"75","cue","00:04:01,240","00:04:04,080","-And you-- He's a good friend. He's not.
-No, 'cause--"
"76","cue","00:04:04,160","00:04:07,280","Babe, he's driving a wedge between us
and you don't even know it."
"77","cue","00:04:07,360","00:04:10,840","Like, I get he's your mate, but he's not
doing you any favors right now, I'm sorry."
"78","cue","00:04:10,920","00:04:14,080","Claudia, he's only doing it
from the goodness of his own heart."
"79","cue","00:04:14,160","00:04:18,040","-Are you blinded? Are you serious?
-He means well, Claudia."
"80","cue","00:04:18,120","00:04:20,200","He means well.
He's just looking out for me,"
"81","cue","00:04:20,279","00:04:23,800","-and that's something I do appreciate.
-He's looking out for you by causing shit"
"82","cue","00:04:23,880","00:04:25,440","where there isn't even shit."
"83","cue","00:04:26,920","00:04:29,080","-I feel he didn't do it intentionally.
-[Phoebe H.] Have you met him?"
"84","cue","00:04:29,720","00:04:32,920","Sorry, bro, but come on. Switch on.
Have you met him?"
"85","cue","00:04:33,000","00:04:36,080","Why is it a big deal what happened
outside of here, when I'm here?"
"86","cue","00:04:36,160","00:04:38,560","-We broke up. That's all you should know.
-Yeah."
"87","cue","00:04:38,640","00:04:39,680","-Do you agree?
-I agree."
"88","cue","00:04:39,760","00:04:41,880","So, do you think Callum
was in the right at all tonight?"
"89","cue","00:04:41,960","00:04:43,760","I think I'm gonna stick with my decision."
"90","cue","00:04:43,840","00:04:47,400","I know he meant well
with anything that he said."
"91","cue","00:04:47,480","00:04:50,360","He was just looking out for me.
That's all it was, Claudia."
"92","cue","00:04:50,440","00:04:54,360","There's nothing to spite you.
At the end of the day-- No, listen--"
"93","cue","00:04:54,440","00:04:56,680","-You are ridiculous.
-No, listen. Okay."
"94","cue","00:04:56,760","00:05:03,360","I am so frustrated that Austen is not
seeing that Callum is the instigator."
"95","cue","00:05:03,440","00:05:06,040","He is a fucking shit stirrer
and I'm fucking sick of it."
"96","cue","00:05:06,120","00:05:08,760","-Okay.
-And if you want to continue being like,"
"97","cue","00:05:08,840","00:05:11,000","""That's fine. He's a good friend
and whatever."" That's fine."
"98","cue","00:05:11,080","00:05:12,880","But I'm not going to stick around
and watch that"
"99","cue","00:05:12,960","00:05:14,240","because I'm fucking sick of him."
"100","cue","00:05:14,320","00:05:16,280","-Okay. Yeah.
-Okay?"
"101","cue","00:05:19,160","00:05:20,280","Okay?"
"102","cue","00:05:22,640","00:05:24,200","You're pretty hot when you're mad."
"103","cue","00:05:24,280","00:05:28,160","Okay, you go talk to him
'cause I'm done talking right now. Okay?"
"104","cue","00:05:28,880","00:05:32,800","-Go talk to that idiot. Okay?
-Okay."
"105","cue","00:06:00,320","00:06:02,880","[Austen] I think Claudia definitely has
a right to be this angry at Callum."
"106","cue","00:06:02,960","00:06:06,880","This was also my fault.
And I definitely can take blame for it."
"107","cue","00:06:06,960","00:06:09,240","I think I should have done it myself."
"108","cue","00:06:12,920","00:06:14,280","[Austen] Okay, boys."
"109","cue","00:06:14,360","00:06:18,920","First things first, I appreciate you guys
doing that all for me. But it's my thing."
"110","cue","00:06:19,000","00:06:22,600","This should have been me talking
to Jason and hearing it for myself."
"111","cue","00:06:22,680","00:06:24,760","-So, where's your head at now?
-I'm fine."
"112","cue","00:06:24,840","00:06:27,440","Have you spoke to Claudia and said,
""Don't you think I should have known about"
"113","cue","00:06:27,520","00:06:29,920","-the Sydney date and stay over?
-Yeah. I get that."
"114","cue","00:06:30,000","00:06:32,520","To be honest with you,
it didn't really bother me that much."
"115","cue","00:06:32,600","00:06:34,800","-Once we go through those doors--
-Leave the baggage."
"116","cue","00:06:34,880","00:06:37,400","-Leave the baggage.
-But the baggage has knocked on the door."
