"index","type","start","end","text"
"0","cue","00:00:05,680","00:00:10,040","[narrator]
<i>Previously on</i> Love Island Australia<i>…</i>"
"1","cue","00:00:11,480","00:00:13,920","<i>Twin bombs, Mads and Hugh, hit the villa…</i>"
"2","cue","00:00:14,000","00:00:15,320","Good morning."
"3","cue","00:00:15,400","00:00:17,040","[Callum] She is banging."
"4","cue","00:00:17,120","00:00:19,640","There's bombs and bombshells,
but she's a nuke."
"5","cue","00:00:19,720","00:00:21,560","[narrator] <i>…setting hearts aflutter…</i>"
"6","cue","00:00:21,640","00:00:24,040","-I like people who bring me up.
-Yeah, that's fine as."
"7","cue","00:00:24,120","00:00:25,480","How's it going? Is it good?"
"8","cue","00:00:25,560","00:00:27,280","-Better now you're here.
-Uh…"
"9","cue","00:00:27,360","00:00:29,880","I can see that his head
could definitely turn."
"10","cue","00:00:29,960","00:00:31,920","[narrator] <i>…and Jess aflame.</i>"
"11","cue","00:00:32,000","00:00:33,400","What impression did you give her?"
"12","cue","00:00:33,480","00:00:35,360","How much reassurance
do I have to give you?"
"13","cue","00:00:35,440","00:00:37,080","[Jess]
I've been cheated on already. Twice."
"14","cue","00:00:37,160","00:00:40,280","I'm not waiting for another immature guy
to do the same thing to me."
"15","cue","00:00:40,360","00:00:42,880","-What do you want him to do?
-Stop flirting."
"16","cue","00:00:42,960","00:00:44,640","[Al] I really want to make this work."
"17","cue","00:00:44,720","00:00:46,600","I have feelings for Jess,
I have genuine feelings."
"18","cue","00:00:46,680","00:00:48,040","I'm willing to fight for those feelings."
"19","cue","00:00:48,640","00:00:50,280","-It's a nice sunset, isn't it?
-Huh?"
"20","cue","00:00:50,360","00:00:52,960","-It's a beautiful sunset.
-Fuck the sunset."
"21","cue","00:00:53,560","00:00:55,320","[narrator] <i>Hey, leave the sun out of it.</i>"
"22","cue","00:00:57,160","00:00:59,640","<i>Tonight…</i>"
"23","cue","00:01:00,640","00:01:01,880","<i>Moves are made.</i>"
"24","cue","00:01:02,600","00:01:05,319","Little bit cheeky.
Good way to start the day. [chuckles]"
"25","cue","00:01:05,400","00:01:09,080","[narrator]
<i>And it's the question on everyone's lips.</i>"
"26","cue","00:01:09,160","00:01:12,640","I think deep down in your heart,
you want Tina."
"27","cue","00:01:12,720","00:01:14,120","[narrator] <i>Will they?</i>"
"28","cue","00:01:14,200","00:01:18,120","I've gone and got to know everyone,
yet I continue to be drawn back to you."
"29","cue","00:01:18,200","00:01:19,600","[narrator] <i>Won't they?</i>"
"30","cue","00:01:19,680","00:01:22,960","I don't know if you want me to want you,
and then you're gonna do something else."
"31","cue","00:01:23,040","00:01:25,880","So it's embarrassing for me
to say that I'd want you."
"32","cue","00:01:25,960","00:01:27,920","I'd look stupid, Mitch."
"33","cue","00:01:28,000","00:01:30,480","I could be hurt by him again."
"34","cue","00:01:30,560","00:01:33,000","I don't wanna do that to myself."
"35","cue","00:01:33,800","00:01:35,200","[narrator] <i>One thing's for sure…</i>"
"36","cue","00:01:35,280","00:01:37,240","""There will be a dumping tonight."""
"37","cue","00:01:37,320","00:01:43,000","[narrator] <i>…by the end of the night,</i>
<i>one Islander will be no more.</i>"
"38","cue","00:01:43,760","00:01:45,880","No, thank you. I don't wanna see that."
"39","cue","00:02:06,720","00:02:10,039","I got a text!"
