"index","type","start","end","text"
"0","cue","00:00:07,360","00:00:10,960","[narrator]
<i>Previously on </i>Love Island Australia<i>…</i>"
"1","cue","00:00:11,840","00:00:13,320","<i>Now with 100% more Spain.</i>"
"2","cue","00:00:16,239","00:00:17,440","Whoo!"
"3","cue","00:00:17,520","00:00:20,400","[narrator] <i>Six sizzling single girls…</i>"
"4","cue","00:00:22,000","00:00:25,800","-[Phoebe] Cheers, ladies!
-[Holly] <i>Love Island</i> 2022, baby!"
"5","cue","00:00:25,880","00:00:28,040","[narrator] <i>…met four hunky boys…</i>"
"6","cue","00:00:28,720","00:00:31,400","-How are we?
-I literally have, like, tingles."
"7","cue","00:00:32,080","00:00:35,160","{\an8}[narrator] <i>…and a bloke</i>
<i>in eggplant Budgies with a mullet.</i>"
"8","cue","00:00:36,280","00:00:38,080","Would you lose the mullet for love?"
"9","cue","00:00:38,160","00:00:39,280","So, you don't like it?"
"10","cue","00:00:39,920","00:00:41,480","[stammers] No comment."
"11","cue","00:00:42,440","00:00:43,640","[narrator] <i>They coupled up…</i>"
"12","cue","00:00:44,600","00:00:47,160","That is five couples officially locked in."
"13","cue","00:00:47,240","00:00:48,480","Phoebe and Mitchell,"
"14","cue","00:00:48,560","00:00:49,560","Claudia and Jordan,"
"15","cue","00:00:49,640","00:00:50,680","Layla and Austen,"
"16","cue","00:00:50,760","00:00:52,440","Stella and Andre,"
"17","cue","00:00:52,520","00:00:54,200","Jessica and Conor,"
"18","cue","00:00:54,280","00:00:56,440","and our single girl, Holly."
"19","cue","00:00:56,520","00:00:59,000","[narrator] <i>Aw, poor Holly.</i>"
"20","cue","00:00:59,080","00:01:00,520","[slurping]"
"21","cue","00:01:00,600","00:01:02,840","[narrator] <i>Couples started to click…</i>"
"22","cue","00:01:02,920","00:01:05,519","The <i>Love Island</i> gods answered my prayers."
"23","cue","00:01:05,600","00:01:06,760","That was nice, you picking me."
"24","cue","00:01:06,840","00:01:08,160","-Were you happy or not really?
-Mmm."
"25","cue","00:01:08,240","00:01:10,400","The mullet is growing on me."
"26","cue","00:01:10,480","00:01:12,440","[narrator] <i>Some really clicked…</i>"
"27","cue","00:01:13,640","00:01:15,040","[giggles]"
"28","cue","00:01:15,120","00:01:16,240","[narrator] <i>…before they cracked.</i>"
"29","cue","00:01:16,320","00:01:17,880","Kiss your favorite Islander."
"30","cue","00:01:18,480","00:01:19,720","[Stella] Whoo!"
"31","cue","00:01:19,800","00:01:23,840","That's called leading me on,
and I do not respond well to being led on."
"32","cue","00:01:24,840","00:01:26,400","[narrator] <i>Then single girl Holly…</i>"
