"index","type","start","end","text"
"0","cue","00:00:04,440","00:00:08,640","[narrator]
<i>Previously on</i> Love Island Australia<i>…</i>"
"1","cue","00:00:08,720","00:00:11,040","<i>The bombs made moves…</i>"
"2","cue","00:00:11,120","00:00:14,040","I just want to make out with you
and hold hands."
"3","cue","00:00:14,120","00:00:16,280","-You were always my number one.
-Yeah."
"4","cue","00:00:16,360","00:00:19,560","I feel really jealous
and I feel really threatened."
"5","cue","00:00:19,640","00:00:22,320","[narrator] <i>…while Callum caused chaos.</i>"
"6","cue","00:00:22,400","00:00:24,320","[Jess]
After everything that happened last night,"
"7","cue","00:00:24,400","00:00:26,520","Callum was just stirring the pot."
"8","cue","00:00:27,280","00:00:28,840","[Claudia] Who does this bloke think he is,"
"9","cue","00:00:28,920","00:00:32,720","switching the rules,
so he got to kiss a lot of little ladies?"
"10","cue","00:00:38,080","00:00:39,480","[narrator] <i>Tonight…</i>"
"11","cue","00:00:40,240","00:00:43,480","Vakoo and Phoebe H will each steal a boy."
"12","cue","00:00:43,560","00:00:47,040","[narrator] <i>…the bombs have to choose.</i>"
"13","cue","00:00:47,120","00:00:49,400","-Are we in love now?
-[laughing]"
"14","cue","00:00:49,480","00:00:51,240","Are you still open or no?"
"15","cue","00:00:51,320","00:00:52,400","Yeah, I'm open."
"16","cue","00:00:53,240","00:00:56,640","-If she was smart, she would choose you.
-Mmm. But is she?"
"17","cue","00:00:56,720","00:01:00,760","Don't want to hurt anyone.
But yeah, I do really like you."
"18","cue","00:01:02,040","00:01:06,240","I don't want to sit here and wait
for you to figure out who you like,"
"19","cue","00:01:06,320","00:01:07,640","because I should be enough."
"20","cue","00:01:10,440","00:01:12,680","[narrator] <i>And it all ends in…</i>"
"21","cue","00:01:13,600","00:01:15,920","One of you is about to be dumped
from the villa."
"22","cue","00:01:16,000","00:01:22,080","[narrator] <i>…one massive fire pit twist.</i>"
"23","cue","00:01:24,280","00:01:26,360","[narrator]
<i>I'm so excited, I peed a little.</i>"
"24","cue","00:01:43,000","00:01:44,320","[girls cheering]"
"25","cue","00:01:46,160","00:01:48,040","[Callum] Three, two, one."
"26","cue","00:01:48,120","00:01:49,360","[girls cheering]"
"27","cue","00:01:49,440","00:01:50,800","[Callum] Ooh."
"28","cue","00:01:50,880","00:01:53,080","We want a fair game here, Callum."
"29","cue","00:01:54,560","00:01:56,600","[all cheering]"
"30","cue","00:02:06,320","00:02:09,759","After everything that happened last night,
Callum was just stirring the pot."
"31","cue","00:02:09,840","00:02:11,880","[all cheering]"
"32","cue","00:02:13,440","00:02:15,600","Callum was an amazing host."
"33","cue","00:02:16,360","00:02:18,080","He was having too much fun with it,
I think."
"34","cue","00:02:19,080","00:02:21,080","[all cheering]"
"35","cue","00:02:25,480","00:02:28,000","[Stella] Jealousy was bubbling in me."
"36","cue","00:02:28,080","00:02:30,640","That kiss went for a little bit too long."
"37","cue","00:02:32,840","00:02:33,880","Oh, fuck!"
"38","cue","00:02:42,920","00:02:44,800","-What's going on through your head?
-Mmm."
"39","cue","00:02:47,520","00:02:48,920","-That little hot minx.
-Hmm?"
"40","cue","00:02:49,560","00:02:51,480","-[Jordan] Kiss was good.
-[Tak] The kiss was good?"
"41","cue","00:02:51,560","00:02:53,720","-[Jordan] Mm-hmm.
-[Tak] What's that doing with your head?"
"42","cue","00:02:54,240","00:02:56,680","I just feel like I needed to go
just to see."
"43","cue","00:02:57,280","00:02:59,320","-Yeah--
-There's no point shutting it off."
"44","cue","00:02:59,400","00:03:01,320","Okay,
but if there was a recoupling tonight"
"45","cue","00:03:01,400","00:03:03,040","and she chose you, would you be mad?"
"46","cue","00:03:03,720","00:03:07,520","I wouldn't be mad because I'd want to see
if there's something there."
"47","cue","00:03:07,600","00:03:10,360","-Okay.
-But I would also be upset, you know?"
"48","cue","00:03:10,440","00:03:11,520","[Austen] Yeah."
"49","cue","00:03:11,600","00:03:13,600","Yeah, I'm pretty confused, to be honest."
"50","cue","00:03:14,400","00:03:17,080","'Cause it's like how do I play two?
I don't wanna do that."
"51","cue","00:03:17,160","00:03:20,920","You can't play both sides
but you do have to explore your options."
"52","cue","00:03:21,000","00:03:22,400","I'll have a chat to Stella"
"53","cue","00:03:22,480","00:03:24,600","and let her know
about how the kisses went."
"54","cue","00:03:24,680","00:03:26,360","I definitely have to play my cards right"
"55","cue","00:03:26,440","00:03:28,680","because I don't want to get
into too much trouble."
"56","cue","00:03:29,360","00:03:31,600","[narrator]
<i>It's been a tough few days for Phoebe</i>"
"57","cue","00:03:31,680","00:03:33,800","<i>and she's dealing with the Mitch sitch</i>"
