"index","type","start","end","text"
"0","cue","00:00:06,920","00:00:10,640","[narrator] <i>Previously on</i>
Love Island Spain--"
"1","cue","00:00:10,720","00:00:11,760","Australia."
"2","cue","00:00:11,840","00:00:14,480","Love Island Australia <i>in Spain.</i>"
"3","cue","00:00:17,400","00:00:18,480","[narrator] <i>Romance…</i>"
"4","cue","00:00:18,560","00:00:22,960","It was sweet. It was really playful
and flirty. And it was just nice."
"5","cue","00:00:23,560","00:00:25,360","[narrator] <i>Seduction…</i>"
"6","cue","00:00:25,440","00:00:28,200","Conor should be worried.
She's been given two new guys."
"7","cue","00:00:28,280","00:00:30,240","I feel like I need
to rip your clothes off."
"8","cue","00:00:30,320","00:00:31,840","I also wanna rip your clothes off."
"9","cue","00:00:31,920","00:00:33,520","[narrator] <i>Betrayal…</i>"
"10","cue","00:00:33,600","00:00:35,640","I like Layla and Claudia."
"11","cue","00:00:35,720","00:00:38,760","I really want to get to know Austen."
"12","cue","00:00:38,840","00:00:40,960","Would you jeopardize what you have
with Jordan?"
"13","cue","00:00:41,560","00:00:43,320","Without beating around the bush, yeah."
"14","cue","00:00:44,360","00:00:47,440","Great. Okay."
"15","cue","00:00:52,800","00:00:54,600","[narrator] <i>Tonight…</i>"
"16","cue","00:00:55,600","00:00:59,040","There's so much more to me
that I need to tell you and show you."
"17","cue","00:00:59,120","00:01:00,520","I want you to be mine."
"18","cue","00:01:00,600","00:01:02,360","I do not wanna lose Jess to Callum."
"19","cue","00:01:02,440","00:01:04,599","It's not a comfortable feeling at all."
"20","cue","00:01:07,800","00:01:09,320","Your lips are juicy."
"21","cue","00:01:09,400","00:01:12,600","Clearly there is something,
but we're both, like, just…"
"22","cue","00:01:12,680","00:01:13,960","Being in denial, I think."
"23","cue","00:01:14,040","00:01:15,800","Yeah, and being nice to people."
"24","cue","00:01:15,880","00:01:17,880","I came to <i>Love Island</i> to find someone."
"25","cue","00:01:17,960","00:01:21,400","I didn't come to <i>Love Island</i>
to make everyone happy."
"26","cue","00:01:23,200","00:01:26,360","I told you I was gonna talk to you
and make a decision."
"27","cue","00:01:26,440","00:01:27,600","Yep."
"28","cue","00:01:29,240","00:01:30,520","[narrator] <i>And?</i>"
"29","cue","00:01:31,120","00:01:32,280","<i>And?</i>"
"30","cue","00:01:33,200","00:01:34,240","<i>And?</i>"
"31","cue","00:01:38,280","00:01:39,560","[sighs]"
"32","cue","00:01:40,240","00:01:43,520","[narrator]
<i>And? For God's sake, man. Spit it out.</i>"
"33","cue","00:01:58,880","00:02:01,760","I just felt disrespected when you said,
""I'll talk to you in the morning,"""
"34","cue","00:02:01,840","00:02:03,240","and you didn't even though."
"35","cue","00:02:04,320","00:02:06,320","♪ <i>If you wanna save my life</i> ♪"
"36","cue","00:02:06,400","00:02:09,160","♪ <i>Look for the house</i>
<i>Where the sun don't shine</i> ♪"
"37","cue","00:02:09,240","00:02:10,840","I thought we were pretty sweet,"
"38","cue","00:02:10,919","00:02:13,720","but you couldn't even give me the time
of day to chat."
"39","cue","00:02:13,800","00:02:16,720","But you also have to understand
I was just nervous, shy."
"40","cue","00:02:16,800","00:02:18,920","So you're still nervous and shy around me?"
"41","cue","00:02:19,640","00:02:21,560","-Is that a bad thing?
-No, I'm just asking."
"42","cue","00:02:21,640","00:02:27,360","♪ <i>I don't wanna kill this vibe</i>
<i>But I'll do wrong if it feels so right</i> ♪"
"43","cue","00:02:27,440","00:02:29,600","Just been thinking
that we had something going on."
"44","cue","00:02:29,680","00:02:31,560","I did not know
I was gonna get along with Austen."
"45","cue","00:02:31,640","00:02:33,960","But I just feel like
you could have chatted to me about it."
"46","cue","00:02:34,040","00:02:36,600","I know, but I'm chatting to you now,
so let's get past that."
"47","cue","00:02:37,240","00:02:42,560","♪ <i>Now I'm running</i> ♪"
"48","cue","00:02:43,280","00:02:45,560","I'm not going to lie
and say there's no connection with Austen,"
"49","cue","00:02:45,640","00:02:47,200","-'cause there is.
-Yeah."
"50","cue","00:02:47,280","00:02:48,560","You want to explore that."
"51","cue","00:02:48,640","00:02:50,080","Absolutely."
"52","cue","00:02:50,160","00:02:52,680","♪ <i>I'm running</i> ♪"
"53","cue","00:02:53,200","00:02:55,200","One minute, it's, uh,
sunshine and rainbows,"
"54","cue","00:02:56,320","00:02:59,000","and then the next minute
it's a absolute fucking storm."
"55","cue","00:02:59,080","00:03:02,880","-♪ <i>Running away from you</i> ♪
-[exhales]"
"56","cue","00:03:06,680","00:03:08,880","This is <i>Love Island</i>.
You need to find a true connection,"
"57","cue","00:03:08,960","00:03:11,560","not have half connections
with three blokes."
"58","cue","00:03:11,640","00:03:15,040","It's just put yourself and myself
in an absolute pickle."
"59","cue","00:03:15,120","00:03:16,360","Yeah."
"60","cue","00:03:16,440","00:03:18,840","[Jordan] I can't help that you've got
a connection with Austen."
"61","cue","00:03:18,920","00:03:20,600","Grass is always greener
where you water it."
"62","cue","00:03:20,680","00:03:22,680","Everyone thinks
the nice guy finishes last,"
"63","cue","00:03:22,760","00:03:26,440","but I'm not gonna get run over
or, you know, pushed aside."
"64","cue","00:03:26,520","00:03:28,640","Like, I still strive for what I want."
"65","cue","00:03:28,720","00:03:30,320","You are still number one."
"66","cue","00:03:31,400","00:03:33,160","Even after I've been a bitch to you?"
"67","cue","00:03:33,240","00:03:35,920","-Because I have been.
-You're only just number one. No. [laughs]"
"68","cue","00:03:36,000","00:03:38,480","No, you're number one, obviously. That's
not gonna change."
"69","cue","00:03:38,560","00:03:40,240","-[cell phone chimes]
-[gasps]"
"70","cue","00:03:40,920","00:03:42,680","I got a text!"
"71","cue","00:03:42,760","00:03:45,080","-[all cheer]
-Ah!"
"72","cue","00:03:46,480","00:03:50,440","{\an8}Okay, it says, ""Claudia, it's time
to head out for your date with Callum."
"73","cue","00:03:50,520","00:03:52,160","{\an8}#HallPass."" [laughs]"
"74","cue","00:03:52,240","00:03:53,800","-[all] Oh.
-[blows raspberry]"
"75","cue","00:03:53,880","00:03:55,320","-[laughs]
-[Holly] Oh, fuck."
"76","cue","00:03:55,400","00:03:57,360","#HallPass?"
"77","cue","00:03:57,440","00:04:01,880","I did not give her a hall pass,
by the way. [laughs]"
"78","cue","00:04:03,640","00:04:06,000","[Jordan] Claudia and Austen
did hit it off."
"79","cue","00:04:06,080","00:04:09,000","Obviously, it's not ideal
she's going on a date with Callum."
"80","cue","00:04:09,960","00:04:12,440","-Have fun, my love.
-[Claudia] Thank you."
"81","cue","00:04:13,440","00:04:15,400","[Jordan] My hands are fucking sweating."
"82","cue","00:04:17,600","00:04:21,000","♪ <i>I tried to tell a story</i> ♪"
"83","cue","00:04:21,560","00:04:27,560","♪ <i>That wasn't full of ghosts</i>
<i>Floating down our halls</i> ♪"
"84","cue","00:04:29,680","00:04:31,480","[birds chirping]"
"85","cue","00:04:32,600","00:04:36,800","[narrator] <i>These dates started</i>
<i>last episode, but we're milking 'em.</i>"
"86","cue","00:04:37,520","00:04:39,520","<i>Claudia's on her way to date Callum.</i>"
"87","cue","00:04:40,360","00:04:42,080","<i>She'll kick out Jess who got picked twice…</i>"
"88","cue","00:04:42,160","00:04:43,000","Hello, hello."
"89","cue","00:04:43,080","00:04:46,240","[narrator] <i>…so she'll kick out Stella</i>
<i>and then date Tak.</i>"
"90","cue","00:04:47,280","00:04:48,280","All yours."
"91","cue","00:04:48,360","00:04:50,600","[narrator] <i>Ah, the circle of life.</i>"
"92","cue","00:04:50,680","00:04:52,400","-[Callum] Hey. How are you?
-Good. How are you?"
"93","cue","00:04:52,480","00:04:53,800","-Yeah, not too bad.
-That's good."
"94","cue","00:04:53,880","00:04:55,440","-You look good…
-Thank you very much."
"95","cue","00:04:55,520","00:04:57,400","-… as always.
-Oh, thanks."
"96","cue","00:04:57,480","00:05:00,680","Obviously, I just picked you straightaway
'cause I'm attracted to you."
"97","cue","00:05:01,640","00:05:05,240","I feel like you're a league above the rest
in there, in terms of looks."
"98","cue","00:05:05,320","00:05:08,160","I like somebody that's naturally pretty."
"99","cue","00:05:08,240","00:05:12,400","I-I've seen a few girls that look mega
on nights out and stuff like that--"
"100","cue","00:05:12,480","00:05:15,360","-And then you take them home…
-Not even take them home,"
"101","cue","00:05:15,440","00:05:18,360","but you go to a beach or something,
then it's like, ""You're not that mega."""
"102","cue","00:05:19,760","00:05:22,080","So I like a bird that looks mega
when she's dolled up,"
"103","cue","00:05:22,160","00:05:23,720","but mega just cruising around as well."
"104","cue","00:05:23,800","00:05:24,920","-Do you know what I mean?
-Yeah."
"105","cue","00:05:25,000","00:05:26,840","Somebody dresses well.
I feel like you dress well."
"106","cue","00:05:26,920","00:05:28,440","I think you dress the best
out of everyone."
"107","cue","00:05:28,520","00:05:29,960","-No way in hell.
-Yeah, you do."
"108","cue","00:05:30,040","00:05:31,320","-Oh, my God.
-You do."
"109","cue","00:05:31,400","00:05:33,800","My sister would be pissing herself.
Half the clothes are hers."
"110","cue","00:05:33,880","00:05:34,880","Oh, really? [laughs]"
"111","cue","00:05:35,520","00:05:37,320","Is you sister mega? Is she or what?"
"112","cue","00:05:38,840","00:05:42,560","[Claudia] Okay, so I know that you
have said that you just look"
"113","cue","00:05:42,640","00:05:44,200","for the attractiveness in someone,"
"114","cue","00:05:44,280","00:05:46,520","but would you want to
get to know my personality?"
"115","cue","00:05:46,600","00:05:48,080","-Yeah, of course. Yeah.
-Like 100%?"
"116","cue","00:05:48,160","00:05:49,360","It's not all about attraction."
"117","cue","00:05:49,440","00:05:52,200","Attraction is just the first thing
I go for, if that make sense."
"118","cue","00:05:52,280","00:05:55,520","Of course I wanna-- Obviously I'm
more attracted to you than most in there."
"119","cue","00:05:55,600","00:05:58,000","So I definitely wanna get to know you
on a deeper level."
"120","cue","00:05:58,080","00:06:00,960","If I saw you in a club, I would run
the other direction, 'cause I'm like,"
"121","cue","00:06:01,040","00:06:03,200","""This guy is just gonna fuck me over."""
"122","cue","00:06:04,320","00:06:05,680","[donkey brays]"
"123","cue","00:06:07,080","00:06:10,440","Unluckily for me,
and I guess, like, good for her,"
"124","cue","00:06:10,520","00:06:13,920","both guys that she chatted to,
she got a vibe off of 'em, so…"
"125","cue","00:06:14,000","00:06:16,240","-And they were Austen and Callum?
-And Cal, yeah."
"126","cue","00:06:16,320","00:06:19,000","-Yeah, right.
-You can't have three blokes in your bed."
"127","cue","00:06:19,080","00:06:20,920","-[Andre] Mmm.
-You're gonna have to figure out"
"128","cue","00:06:21,000","00:06:22,160","who you wanna go with."
"129","cue","00:06:22,240","00:06:25,720","At the end of the day,
<i>Love Island</i> is an absolute roller coaster."
"130","cue","00:06:26,320","00:06:28,240","And no one waits for no one around here."
"131","cue","00:06:28,840","00:06:31,160","-So, reckon you're in the box seat?
-You reckon?"
"132","cue","00:06:31,240","00:06:33,280","Yeah.
But I don't think you should worry, man."
"133","cue","00:06:33,360","00:06:36,120","It's literally like the ball's
in her court."
"134","cue","00:06:36,200","00:06:39,240","Ideally, I'm hoping that we get
through this and we get recoupled up,"
"135","cue","00:06:39,320","00:06:41,200","and I think
it will make us a lot stronger."
"136","cue","00:06:41,280","00:06:43,240","-Yeah.
-But if we don't get through it, we won't."
"137","cue","00:06:43,320","00:06:44,400","-Know what I mean?
-Yeah."
