"index","type","start","end","text"
"0","cue","00:00:07,960","00:00:12,040","[narrator]
Love Island <i>is back in stunning Spain.</i>"
"1","cue","00:00:15,800","00:00:19,480","<i>It's the perfect destination to find love</i>"
"2","cue","00:00:19,560","00:00:23,000","<i>and celebrate your 21st birthday.</i>"
"3","cue","00:00:23,080","00:00:24,080","<i>Again.</i>"
"4","cue","00:00:24,760","00:00:26,080","<i>Happy birthday, Soph.</i>"
"5","cue","00:00:26,160","00:00:29,400","-Aw, thanks, guys.
-[narrator] <i>Make a wish.</i>"
"6","cue","00:00:29,480","00:00:33,360","I wanna be surrounded
by hot humans in Spain."
"7","cue","00:00:33,440","00:00:35,480","[pop music playing]"
"8","cue","00:00:36,800","00:00:39,640","I want a hot real estate agent."
"9","cue","00:00:41,200","00:00:43,680","I want a sexy secretary."
"10","cue","00:00:48,920","00:00:51,040","I want a rapper with swagger."
"11","cue","00:00:54,200","00:00:57,040","And a raunchy retro Barbie."
"12","cue","00:01:01,400","00:01:06,120","I want a sizzling psychologist
and a hot gamer girl."
"13","cue","00:01:06,200","00:01:08,560","What are you doing? What are you doing?"
"14","cue","00:01:09,920","00:01:12,080","I want a hot guy with a mullet."
"15","cue","00:01:13,160","00:01:16,360","What about a foxy fashion student?"
"16","cue","00:01:17,000","00:01:19,640","And a scorching Latino lover."
"17","cue","00:01:26,920","00:01:28,840","I want a hopeless romantic."
"18","cue","00:01:30,200","00:01:33,000","I want a fit personal trainer."
"19","cue","00:01:33,080","00:01:35,480","I want a flirty dancer."
"20","cue","00:01:36,960","00:01:38,720","And a cheeky pool boy."
"21","cue","00:01:40,080","00:01:42,560","And I want a unicorn."
"22","cue","00:01:45,360","00:01:48,760","[narrator] <i>Soph, your wishes are granted.</i>"
"23","cue","00:01:50,320","00:01:52,240","<i>Except for the unicorn.</i>"
"24","cue","00:01:53,040","00:01:55,000","-[brays]
-[Sophie groans]"
"25","cue","00:02:10,320","00:02:14,160","[narrator] <i>Oh, baby. We are back.</i>"
"26","cue","00:02:14,240","00:02:17,040","<i>Fiji was fine. Byron was bearable.</i>"
"27","cue","00:02:17,120","00:02:20,960","<i>But Spain always sizzled and here we are.</i>"
"28","cue","00:02:21,040","00:02:23,800","<i>You know what else sizzles?</i>
<i>Our brand-new villa.</i>"
"29","cue","00:02:23,880","00:02:25,960","<i>Cameraman Steve is back too.</i>"
"30","cue","00:02:26,040","00:02:29,240","<i>He's already drunk</i>
<i>and joyriding the drone.</i>"
"31","cue","00:02:29,320","00:02:30,680","<i>Whoo-hoo!</i>"
"32","cue","00:02:31,240","00:02:34,680","<i>We've got it all. Crack gym, check.</i>"
"33","cue","00:02:35,680","00:02:37,800","<i>A plastic bird, check.</i>"
"34","cue","00:02:38,720","00:02:42,000","<i>Neon nooks and crannies</i>
<i>for kissing and canoodling,</i>"
"35","cue","00:02:42,080","00:02:43,320","<i>that's a check.</i>"
"36","cue","00:02:44,360","00:02:47,960","<i>Let's bring on the girls</i>
<i>with a very horny noise.</i>"
"37","cue","00:02:48,040","00:02:49,040","[horn honks]"
"38","cue","00:02:49,120","00:02:51,480","[pop music playing]"
"39","cue","00:02:52,120","00:02:55,800","Let's go! [whooping]"
"40","cue","00:02:59,000","00:03:00,920","Oh, my God! [laughs]"
"41","cue","00:03:01,000","00:03:02,200","Whoo!"
"42","cue","00:03:02,280","00:03:04,800","Whoo-hoo!"
"43","cue","00:03:05,400","00:03:07,760","Hi! [laughs]"
"44","cue","00:03:07,840","00:03:11,160","-Hey, I'm Claudia. Nice to meet you.
-I'm Stella. Nice to meet you."
"45","cue","00:03:14,400","00:03:16,080","Oh, my God."
"46","cue","00:03:16,680","00:03:18,480","[Stella] Oh, my gosh. [giggles]"
"47","cue","00:03:19,240","00:03:22,080","Okay. Okay, okay. It's really happening."
"48","cue","00:03:23,040","00:03:26,120","-Wow. Are you looking at this?
-Isn't that beautiful? Wow!"
"49","cue","00:03:26,200","00:03:28,840","-I love all the flowers along there.
-[Claudia] I know."
"50","cue","00:03:32,160","00:03:34,320","-[Stella] This is amazing.
-This is so weird."
"51","cue","00:03:34,400","00:03:36,640","-Look at the view.
-Wow."
"52","cue","00:03:36,720","00:03:38,400","-Oh, my God.
-Oh, my God. I can't--"
"53","cue","00:03:38,480","00:03:41,040","Okay. Perfect time.
We'll pop the champagne."
"54","cue","00:03:41,120","00:03:43,600","Okay, but I've never done it.
So, this is-- Have you?"
"55","cue","00:03:43,680","00:03:45,040","I can do it. We're here."
"56","cue","00:03:45,120","00:03:47,920","We're at <i>Love Island</i>.
We're living our best lives."
"57","cue","00:03:48,000","00:03:50,600","We are.
We're gonna have the best summer ever."
"58","cue","00:03:50,680","00:03:52,360","-[Stella] I used to know how to open it.
-You got it."
"59","cue","00:03:52,440","00:03:54,960","-I'm nervous. Got it! Yay!
-[laughs]"
"60","cue","00:03:55,040","00:03:57,280","-Got it. Perfect.
-I was like, ""I know I can do it."""
"61","cue","00:03:57,360","00:04:00,280","-Then you got to pour it on the side.
-You know what you're doing."
"62","cue","00:04:00,360","00:04:01,800","I need to take a moment"
"63","cue","00:04:01,880","00:04:03,880","-to soak this all in.
-We just need to breathe."
"64","cue","00:04:03,960","00:04:05,760","-Cheers? Do you look in the eyes?
-Cheers. Yes."
"65","cue","00:04:05,840","00:04:07,400","-Cheers.
-Yes. My God."
"66","cue","00:04:07,480","00:04:11,040","Have you come in with an expectation
of a type of guy you want?"
"67","cue","00:04:11,120","00:04:13,480","I like somebody who's not mean to me."
"68","cue","00:04:13,560","00:04:15,880","-Yeah.
-But has that sort of persona."
"69","cue","00:04:19,519","00:04:24,080","My name's Claudia. I'm 23. I'm from
Adelaide and I'm a medical secretary."
"70","cue","00:04:24,160","00:04:26,360","[pop music playing]"
"71","cue","00:04:28,160","00:04:29,400","I'm very picky."
"72","cue","00:04:29,480","00:04:32,640","I say no to a lot of people.
But no one has ever said no to me."
"73","cue","00:04:36,520","00:04:39,480","I'm definitely looking for a man,
not a boy."
"74","cue","00:04:41,880","00:04:44,720","I want someone who only has eyes for me."
"75","cue","00:04:44,800","00:04:47,680","If their eyes go left or right,
looking at another girl, I'm done."
"76","cue","00:04:51,680","00:04:52,760","I'm Sicilian, so…"
"77","cue","00:04:52,840","00:04:57,840","A full Sicilian firecracker is drama,
jealousy and always gets her way."
"78","cue","00:05:02,120","00:05:05,680","I want someone on the same level as me.
If I want something, I will get it."
"79","cue","00:05:06,680","00:05:10,200","I have never been rejected. I don't think
anyone's actually gonna get in my way."
"80","cue","00:05:16,480","00:05:17,600","My previous dating history,"
"81","cue","00:05:17,680","00:05:20,600","I've just dated
so many different types of people."
"82","cue","00:05:20,680","00:05:22,400","-I like that big--
-The big--"
"83","cue","00:05:22,480","00:05:23,840","-Yeah, muscular.
-I know."
"84","cue","00:05:23,920","00:05:27,120","But, um, yeah,
I also like people really sweet."
"85","cue","00:05:27,200","00:05:29,320","So sweet. I think-- Yeah. That's cute."
"86","cue","00:05:32,480","00:05:35,360","I'm Stella.
I'm 24 years old and I'm from Brisbane."
"87","cue","00:05:36,640","00:05:37,840","{\an8}[producer]"
"88","cue","00:05:37,920","00:05:39,440","[Stella] Well, I'm gonna have to say a 10."
"89","cue","00:05:39,520","00:05:42,440","No, I take it back. I take it back.
[giggles]"
"90","cue","00:05:46,000","00:05:49,600","On a date, I'm awkward
because I'm a super messy eater."
"91","cue","00:05:49,680","00:05:52,840","I'll do this
and I'll knock anything over in my sight."
"92","cue","00:05:52,920","00:05:54,560","I cannot wear white on a first date."
"93","cue","00:05:59,280","00:06:00,960","I fall super fast for people."
"94","cue","00:06:01,040","00:06:03,240","In ten seconds,
I'm imagining our lives together."
"95","cue","00:06:03,320","00:06:06,240","Thinking, ""Let's get married. Kids."""
"96","cue","00:06:06,320","00:06:07,600","I wanna live my best life"
"97","cue","00:06:07,680","00:06:10,200","and I want the person who I'm with
to live their best life, too."
"98","cue","00:06:10,880","00:06:13,760","I love love. I love love in every form."
"99","cue","00:06:18,920","00:06:20,200","-I'm excited.
-[Claudia giggles]"
