"index","type","start","end","text"
"0","cue","00:00:08,440","00:00:12,120","[narrator]
<i>Previously on</i> Love Island Australia<i>…</i>"
"1","cue","00:00:13,000","00:00:15,040","[Claudia] A hundred percent, Austen and I,"
"2","cue","00:00:15,120","00:00:17,480","will make it
to the boyfriend and girlfriend stage."
"3","cue","00:00:18,440","00:00:21,240","[Stella] He makes me so giddy.
Like, I really like him."
"4","cue","00:00:21,320","00:00:23,880","You're a beautiful girl
and I think you deserve the world."
"5","cue","00:00:24,960","00:00:26,920","[Jess] Al likes me for me."
"6","cue","00:00:27,000","00:00:29,360","He's a catch.
Any girl would be lucky to have him."
"7","cue","00:00:29,440","00:00:30,280","[Al, Jess] Wow."
"8","cue","00:00:30,360","00:00:33,480","[Layla]
I'm really enjoying my time with Callum."
"9","cue","00:00:33,560","00:00:36,440","We did talk about the future.
This is the real deal."
"10","cue","00:00:36,520","00:00:39,560","[narrator]
<i>And they lived happily ever after…</i>"
"11","cue","00:00:41,600","00:00:43,280","<i>until tonight.</i>"
"12","cue","00:00:44,120","00:00:46,200","[Islander] I'm here to break up a couple."
"13","cue","00:00:46,280","00:00:47,960","[narrator] <i>Two new bombs…</i>"
"14","cue","00:00:48,040","00:00:52,800","[Stella] ""You will watch the boys
date two new girls, #SpyDate."""
"15","cue","00:00:52,880","00:00:55,560","[narrator] <i>…bring a whole heap of drama…</i>"
"16","cue","00:00:55,640","00:00:56,880","The door is, like, open."
"17","cue","00:00:56,960","00:00:58,520","-Good to know.
-[mouthing words] Fuck you."
"18","cue","00:00:58,600","00:01:00,920","If you wanna share a bed with me tonight,
just say so."
"19","cue","00:01:01,000","00:01:02,680","I am fuming."
"20","cue","00:01:02,760","00:01:04,720","Whatever happens, happens, you know?"
"21","cue","00:01:04,800","00:01:06,160","I'm gonna lure you in."
"22","cue","00:01:07,680","00:01:11,080","[Callum] Yeah, she's hot.
Like, her body is banging."
"23","cue","00:01:11,160","00:01:12,320","[mocking laughter]"
"24","cue","00:01:13,800","00:01:17,120","I actually cannot wait
until he sees me after this."
"25","cue","00:01:18,040","00:01:21,880","[narrator] <i>…before a moment</i>
<i>that shakes the villa to its core.</i>"
"26","cue","00:01:22,640","00:01:25,840","-[crying] I'm gonna vomit.
-It's okay. No, it's okay."
"27","cue","00:01:27,240","00:01:28,760","[Phoebe crying]"
"28","cue","00:01:28,840","00:01:30,680","[Stella] It's okay. It's okay."
"29","cue","00:01:52,800","00:01:54,040","-[cell phone chimes]
-[gasps]"
"30","cue","00:01:54,120","00:01:55,680","What the fuck?"
"31","cue","00:01:58,360","00:02:00,120","""The Hideaway is now open."
"32","cue","00:02:00,680","00:02:02,760","Claudia and Austen,
it's time to get ready."""
"33","cue","00:02:02,840","00:02:05,040","[Islanders cheering]"
"34","cue","00:02:07,160","00:02:08,039","You look so hot."
"35","cue","00:02:08,120","00:02:10,280","[Islanders laugh, cheering]"
"36","cue","00:02:11,080","00:02:13,480","[Callum] You're too overdressed.
You should take the singlet off."
"37","cue","00:02:14,520","00:02:16,760","[Islanders cheering]"
"38","cue","00:02:23,040","00:02:25,000","[Islanders] Bye!"
"39","cue","00:02:26,440","00:02:27,720","[both gasp]"
"40","cue","00:02:27,800","00:02:29,680","Oh, my gosh."
"41","cue","00:02:31,240","00:02:33,200","You look so fucking sexy."
"42","cue","00:02:33,280","00:02:34,440","Thanks."
"43","cue","00:02:40,320","00:02:41,160","-Really?
-Mmm."
"44","cue","00:03:04,200","00:03:05,960","[narrator] <i>Simba.</i>"
"45","cue","00:03:08,080","00:03:09,440","[Claudia chuckles]"
"46","cue","00:03:12,320","00:03:15,200","[both chuckling]"
"47","cue","00:03:15,280","00:03:17,280","You're so cheesy."
"48","cue","00:03:19,520","00:03:21,200","You look like such a baby
when you wake up."
"49","cue","00:03:21,280","00:03:23,440","-Yeah, because I am.
-Like a hot baby."
"50","cue","00:03:23,960","00:03:25,600","-A baby with hair.
-Mmm."
"51","cue","00:03:26,320","00:03:29,000","You would've been such a cute baby."
"52","cue","00:03:29,080","00:03:31,720","The Hideaway was, um, lovely."
"53","cue","00:03:33,920","00:03:36,120","-[Austen moans]
-[Claudia moans]"
"54","cue","00:03:39,480","00:03:40,320","What?"
"55","cue","00:03:44,840","00:03:47,600","[Austen] It was nice to be
in a secluded place, just us two."
"56","cue","00:03:47,680","00:03:49,400","I honestly really loved it."
"57","cue","00:03:49,480","00:03:52,400","It was so nice."
"58","cue","00:03:52,480","00:03:54,480","-Are you gonna put this on? This?
-What?"
"59","cue","00:03:54,560","00:03:55,720","Yes, of course."
"60","cue","00:03:55,800","00:03:59,000","I'ma feel like Luke Skywalker
in <i>Star Wars.</i>"
"61","cue","00:03:59,080","00:04:01,000","Or like Obi-Wan Kenobi."
"62","cue","00:04:01,080","00:04:03,120","Uh-oh. Get ready."
"63","cue","00:04:03,200","00:04:04,640","-[Tak] I bet it's like--
-[Phoebe squeals]"
"64","cue","00:04:04,720","00:04:08,000","[Islanders cheering, applauding]"
"65","cue","00:04:12,440","00:04:13,880","-[Claudia] Shut up!
-[Mitchell] Come here!"
"66","cue","00:04:13,960","00:04:15,840","[Austen, Phoebe screaming]"
"67","cue","00:04:15,920","00:04:18,040","[Phoebe, Mitchell laughing]"
"68","cue","00:04:18,120","00:04:19,760","Good morning."
"69","cue","00:04:19,839","00:04:22,840","All I know is that me and Claudia
are at a very good spot."
"70","cue","00:04:22,920","00:04:25,720","We are both really happy with each other."
"71","cue","00:04:25,800","00:04:29,560","I do believe that what we have
will continue on outside the villa"
"72","cue","00:04:29,640","00:04:31,920","'cause, yeah, she's such a beautiful girl."
"73","cue","00:04:32,000","00:04:34,000","-[Callum] Yeah. So, what's the goss?
-[laughs]"
