"index","type","start","end","text"
"0","cue","00:00:05,360","00:00:09,320","[narrator]
<i>Previously on</i> Love Island Australia<i>…</i>"
"1","cue","00:00:10,400","00:00:14,320","<i>Tina's arrival had Mitch feeling--</i>
<i>What's the word?</i>"
"2","cue","00:00:14,400","00:00:15,400","I'm completely rattled."
"3","cue","00:00:15,480","00:00:17,040","I'm proper rattled, bro."
"4","cue","00:00:17,120","00:00:18,400","I'm rattled as."
"5","cue","00:00:18,480","00:00:20,920","-Little bit rattled, but--
-[Tina] I know you're rattled."
"6","cue","00:00:21,000","00:00:24,080","[narrator]
<i>Before classic Mitch and Tina tears.</i>"
"7","cue","00:00:24,160","00:00:28,240","Obviously there's something still
there somewhere, you know what I mean?"
"8","cue","00:00:28,320","00:00:31,200","I'm just pissed off
'cause I don't want to feel like that."
"9","cue","00:00:31,280","00:00:33,240","An ex is an ex for a reason,"
"10","cue","00:00:33,320","00:00:36,840","but it is really hard
when this place has so many memories."
"11","cue","00:00:36,920","00:00:38,240","[groans]"
"12","cue","00:00:39,000","00:00:41,280","[narrator] <i>And after a surprise dumping…</i>"
"13","cue","00:00:41,360","00:00:44,440","The girl we are dumping tonight is Maddy."
"14","cue","00:00:44,520","00:00:46,720","[narrator] <i>…Maddy marched out.</i>"
"15","cue","00:00:48,040","00:00:50,560","<i>Whew. I am proper rattled.</i>"
"16","cue","00:00:51,440","00:00:54,400","<i>Tonight…</i>"
"17","cue","00:00:54,480","00:00:59,360","""Jess and Al,
the Hideaway is open tonight."""
"18","cue","00:00:59,440","00:01:02,000","[narrator] <i>It's amour for Al and Jess…</i>"
"19","cue","00:01:02,080","00:01:04,160","The Hideaway is
exactly what Jess and I needed."
"20","cue","00:01:04,239","00:01:05,640","Couldn't come at a better time."
"21","cue","00:01:05,720","00:01:08,320","[narrator] <i>…confusion for Mitch and Tina…</i>"
"22","cue","00:01:08,400","00:01:11,520","I don't know.
I'm just-- I don't know what I'm doing."
"23","cue","00:01:11,600","00:01:12,600","[Mitch] Me neither."
"24","cue","00:01:12,680","00:01:16,120","It's just opening a can of worms
that could be potentially really hurtful."
"25","cue","00:01:16,200","00:01:21,080","{\an8}[narrator] <i>…and sheer terror for everyone</i>
<i>else as the Truth Bike returns.</i>"
"26","cue","00:01:21,160","00:01:24,040","Could you see a relationship with Phoebe H
on the outside?"
"27","cue","00:01:24,120","00:01:27,280","No, not at this point in time.
We are definitely on a different level."
"28","cue","00:01:28,400","00:01:30,280","It's just not nice to hear."
