"index","type","start","end","text"
"0","cue","00:00:07,880","00:00:12,080","[narrator]
<i>Previously on</i> Love Island Australia…"
"1","cue","00:00:13,400","00:00:15,400","I'm so sick of hearing you say sorry."
"2","cue","00:00:15,480","00:00:18,400","[narrator] <i>Al and Jess had an altercation.</i>"
"3","cue","00:00:18,480","00:00:20,520","It's hard to navigate
and really know what to do."
"4","cue","00:00:20,600","00:00:23,760","When you date someone,
you get the good side and you get the bad."
"5","cue","00:00:23,840","00:00:27,280","And it's up to you if you want to
take all of it, or you take none of it."
"6","cue","00:00:27,360","00:00:31,520","[narrator] <i>Before a big new bomb</i>
<i>with a familiar face…</i>"
"7","cue","00:00:31,600","00:00:33,120","-That's Mitch.
-That's Mitch."
"8","cue","00:00:33,200","00:00:34,400","[screaming, laughing]"
"9","cue","00:00:34,480","00:00:36,800","[narrator] <i>…arrived to shake things up.</i>"
"10","cue","00:00:36,880","00:00:39,280","He is smoking hot."
"11","cue","00:00:39,360","00:00:42,040","So, I have a bit of a track record
for footie players."
"12","cue","00:00:42,120","00:00:43,520","-[laughing]
-[Mitchell] Another Mitch."
"13","cue","00:00:43,600","00:00:46,680","He's taller than me.
He's got a better body than me."
"14","cue","00:00:46,760","00:00:48,160","-[scoffs]
-Of course I'm jealous."
"15","cue","00:00:48,240","00:00:50,400","I don't want a guy
to take you away from me."
"16","cue","00:00:50,480","00:00:52,360","This is my first real test."
"17","cue","00:00:52,440","00:00:54,680","[laughs]"
"18","cue","00:00:58,600","00:01:01,240","[narrator] <i>Tonight…</i>"
"19","cue","00:01:01,840","00:01:04,160","I definitely can sense
that you're interested."
"20","cue","00:01:04,239","00:01:06,800","-[laughs]
-[chuckling] It's not hard to tell."
"21","cue","00:01:06,880","00:01:10,120","[narrator] <i>Phoebe isn't sure which Mitch</i>
<i>should be her Mitch.</i>"
"22","cue","00:01:10,200","00:01:12,760","I could have a stronger
connection with you."
"23","cue","00:01:13,360","00:01:16,880","And I honestly just feel like I'm the
meat in a Mitch sandwich."
"24","cue","00:01:17,480","00:01:20,840","[narrator] <i>While Maddy thinks new Mitch</i>
<i>is the Mitch for her.</i>"
"25","cue","00:01:20,920","00:01:22,800","I need to step up my game with the flirt."
"26","cue","00:01:22,880","00:01:25,160","-These muscles are doing things to me.
-[Mitch] Mmm."
"27","cue","00:01:25,240","00:01:27,320","You could be in trouble if we share a bed."
"28","cue","00:01:27,400","00:01:29,160","You'd be the one in trouble."
"29","cue","00:01:29,240","00:01:30,320","-You reckon?
-Yeah."
"30","cue","00:01:30,400","00:01:32,920","[narrator] <i>Seems Mitch really has it made.</i>"
"31","cue","00:01:33,640","00:01:35,640","<i>Be a shame if his ex turned up.</i>"
"32","cue","00:01:36,360","00:01:38,560","<i>We wouldn't do that, would we?</i>"
"33","cue","00:01:39,560","00:01:41,400","<i>Of course we would.</i>"
"34","cue","00:01:42,640","00:01:43,920","<i>Hi, Tina.</i>"
"35","cue","00:01:44,000","00:01:46,280","-I'm Callum. Nice to meet you.
-Tina. Hey."
"36","cue","00:01:46,360","00:01:48,640","-[Jordan] Tina.
-[screaming] Oh, my God!"
"37","cue","00:01:48,720","00:01:50,200","[Islanders screaming, shouting]"
"38","cue","00:01:50,280","00:01:52,920","-[laughing] Oh, my God.
-I don't know why they're going so crazy."
"39","cue","00:01:53,000","00:01:55,880","-[Mitch] I came here like six years ago.
-[Al] Welcome to <i>Love Island</i>, bro."
"40","cue","00:02:13,600","00:02:15,120","[Phoebe gasps, chuckles]"
"41","cue","00:02:15,200","00:02:17,600","[Islanders laugh, cheer]"
"42","cue","00:02:17,680","00:02:19,360","-[Tak] Look at the size of this guy.
-[scoffs]"
"43","cue","00:02:21,560","00:02:24,000","-[Stella chuckling] He's coming.
-[Phoebe] Whoo-hoo."
"44","cue","00:02:24,080","00:02:25,200","[Al] Oh, my goodness."
"45","cue","00:02:25,280","00:02:27,200","[Mitch] Necks are snapping right now."
"46","cue","00:02:27,280","00:02:30,320","Five out of the six girls pretty much said
they want to get to know me."
"47","cue","00:02:30,400","00:02:33,920","He's got the best body in the villa.
I couldn't believe it. It looked fake."
"48","cue","00:02:34,000","00:02:35,520","-Look at you.
-[Mitch, Jess laugh]"
"49","cue","00:02:39,040","00:02:41,120","I'm naturally attracted to you."
"50","cue","00:02:41,200","00:02:42,240","-Of course.
-[laughs]"
"51","cue","00:02:42,320","00:02:43,720","How you doing?"
"52","cue","00:02:44,760","00:02:47,520","-Might fall in love with me, who knows?
-[laughing] Oh, my God!"
"53","cue","00:02:47,600","00:02:51,920","I don't care what's gone on the last few
weeks, but <i>Love Island</i> starts today."
"54","cue","00:03:00,040","00:03:01,360","-[Maddy sighs]
-[Mitch] Hmm."
"55","cue","00:03:02,360","00:03:04,080","[Mitch] So, what's going on with you?"
"56","cue","00:03:04,960","00:03:07,760","[Maddy] Um, I'll be honest,
I've had a very unstable, rocky journey"
"57","cue","00:03:07,840","00:03:09,640","-this whole time.
-[laughs] Yeah."
"58","cue","00:03:09,720","00:03:13,640","So, I'm in my third couple now
but we're still just not vibing."
"59","cue","00:03:13,720","00:03:17,240","I feel like you're definitely my type
lookswise."
"60","cue","00:03:17,320","00:03:21,360","I've had one chat for five minutes,
but lookswise you're my type."
"61","cue","00:03:21,440","00:03:23,200","Yeah.
Physically, you're very much my type."
"62","cue","00:03:23,280","00:03:24,560","So, what is your type?"
"63","cue","00:03:24,640","00:03:28,600","I literally said 6'4"". Huge muscles,
very masculine, rugged."
"64","cue","00:03:28,680","00:03:31,640","[Mitch] Physically, Maddy has things
that I'm attracted to."
"65","cue","00:03:31,720","00:03:34,920","She's blonde. Good bum. I mean,
I didn't look, but great bum."
"66","cue","00:03:35,000","00:03:36,760","I'm excited to get to know her more."
"67","cue","00:03:36,840","00:03:38,680","-What's your star sign?
-Sagittarius."
"68","cue","00:03:38,760","00:03:42,040","-That doesn't mean anything. [laughs]
-It doesn't mean much to me, either."
"69","cue","00:03:42,120","00:03:43,960","-I'm an HR adviser.
-HR adviser?"
"70","cue","00:03:44,040","00:03:45,520","-Human Resources.
-Yep."
"71","cue","00:03:45,600","00:03:47,840","I just finished my master's degree
this year."
"72","cue","00:03:47,920","00:03:48,960","So you're switched on."
"73","cue","00:03:49,040","00:03:51,200","-Yeah, I'm smart.
-Fuck, there you go."
"74","cue","00:03:51,280","00:03:52,440","Well, compared to-- I--"
"75","cue","00:03:52,520","00:03:54,720","[both laugh]"
"76","cue","00:03:54,800","00:03:58,080","Maddy is the whole package.
She's a very switched on and driven girl."
"77","cue","00:03:58,160","00:03:59,800","Plus, she's obviously very attractive."
"78","cue","00:03:59,880","00:04:03,120","Usually, I'm going for the really
attractive girls with not much upstairs,"
"79","cue","00:04:03,200","00:04:04,680","so that's refreshing for a change."
"80","cue","00:04:06,240","00:04:09,600","[narrator] <i>Speaking of not much upstairs,</i>
<i>the balcony's a bit sparse.</i>"
"81","cue","00:04:09,680","00:04:13,880","<i>And the </i>MAFS<i> divorcée, Al's mind</i>
<i>is on the </i>Love Island<i> champ</i>"
"82","cue","00:04:13,960","00:04:17,000","<i>who's relationship also tanked</i>
<i>after the credits.</i>"
"83","cue","00:04:17,079","00:04:21,440","Obviously, it's really intimidating
for someone like Mitch to walk in."
"84","cue","00:04:21,519","00:04:23,880","-Yeah.
-But I'm glad it's happening…"
"85","cue","00:04:24,640","00:04:26,720","-Yeah.
-…because that's the ultimate test."
"86","cue","00:04:26,800","00:04:28,880","-Yeah. Yeah.
-The ultimate bomb."
"87","cue","00:04:28,960","00:04:31,840","And this will really see
if what we have is real."
"88","cue","00:04:32,440","00:04:36,080","I've had a chat with him.
It just solidified what I have with you."
"89","cue","00:04:36,160","00:04:38,160","-Really? Aw.
-Yeah."
"90","cue","00:04:38,240","00:04:41,480","'Cause you have a bomb like that.
He's obviously a weapon."
"91","cue","00:04:41,560","00:04:43,480","-And he's walked in. Whatever.
-Mmm."
"92","cue","00:04:43,560","00:04:46,080","But I was just still like, ""Yeah, Al."""
"93","cue","00:04:46,160","00:04:47,480","-Wow.
-Yeah."
"94","cue","00:04:47,560","00:04:50,000","I'm just starting to really like you, Al."
"95","cue","00:04:50,080","00:04:52,560","-If my head's not gonna turn for Mitch…
-Jess."
"96","cue","00:04:52,640","00:04:55,800","…then I don't think my head's
going to turn for anyone."
"97","cue","00:04:55,880","00:04:57,720","She wants me over Mitch."
"98","cue","00:04:57,800","00:04:59,600","This makes me the happiest man
in the world."
"99","cue","00:04:59,680","00:05:01,440","Hearing this is…"
"100","cue","00:05:01,520","00:05:02,800","-Yeah.
-Really good?"
"101","cue","00:05:02,880","00:05:05,800","-Makes me feel warm and fuzzy.
-Really? Aw, Al."
"102","cue","00:05:10,560","00:05:11,920","Thanks for telling me."
"103","cue","00:05:12,000","00:05:13,960","-Putting my mind at ease.
-Yeah."
"104","cue","00:05:16,280","00:05:19,880","[narrator] <i>They say if you love someone,</i>
<i>you should set them free.</i>"
"105","cue","00:05:19,960","00:05:21,480","<i>Well, Claudia did that with Jason,</i>"
"106","cue","00:05:21,560","00:05:24,160","<i>but he followed her 17,000 miles</i>
<i>around the world,</i>"
"107","cue","00:05:24,240","00:05:26,480","<i>and is sitting on the Tepee of Truth.</i>"
"108","cue","00:05:26,560","00:05:29,160","<i>Or hard truths, as it transpires.</i>"
"109","cue","00:05:30,360","00:05:32,560","-Is this a serious talk?
-This is a serious talk."
"110","cue","00:05:32,640","00:05:33,680","Fuck. All right."
"111","cue","00:05:33,760","00:05:38,360","When we met, the feeling was there,
somehow, for both of us."
"112","cue","00:05:38,440","00:05:39,600","Obviously, you know."
"113","cue","00:05:40,200","00:05:42,440","As soon as we met each other,
two minutes later--"
"114","cue","00:05:42,520","00:05:44,080","I told everyone you were
gonna be my husband."
"115","cue","00:05:44,160","00:05:46,160","-[chuckles]
-[Jason] Exactly. That's what I mean."
"116","cue","00:05:46,240","00:05:48,840","When we had issues,
even before we were officially dating,"
"117","cue","00:05:48,920","00:05:52,800","we used to say to each other,
""If it's meant to be, it's meant to be."""
"118","cue","00:05:52,880","00:05:56,160","I really did like you,
and I really did have feelings for you."
"119","cue","00:05:56,240","00:05:57,760","We were just not compatible."
"120","cue","00:05:57,840","00:06:00,440","-But I do wanna give you something back.
-What?"
"121","cue","00:06:02,600","00:06:04,880","Nah, I don't want that.
What am I gonna do with it?"
"122","cue","00:06:04,960","00:06:07,200","-I don't want to have it.
-[scoffs] Give it to your sister."
"123","cue","00:06:07,280","00:06:08,480","I don't want it either."
"124","cue","00:06:08,560","00:06:13,280","I just felt like the ring that
he had given me didn't belong to me."
"125","cue","00:06:13,360","00:06:15,200","I shouldn't have it.
I shouldn't be wearing it."
"126","cue","00:06:15,280","00:06:16,920","I feel uncomfortable having it."
"127","cue","00:06:17,000","00:06:19,200","-I don't like having it either. No.
-You don't like having it?"
"128","cue","00:06:19,280","00:06:20,760","-Should I chuck it out?
-Chuck it out."
"129","cue","00:06:20,840","00:06:22,120","-Really?
-Yeah."
"130","cue","00:06:22,200","00:06:24,080","-Now I feel bad.
-Why do you feel bad?"
"131","cue","00:06:24,160","00:06:27,600","-Just in general.
-Don't ever say you feel bad for me."
"132","cue","00:06:27,680","00:06:30,240","I don't.
For the fact that I found this guy."
"133","cue","00:06:30,320","00:06:31,440","[Jason] Yeah."
"134","cue","00:06:31,520","00:06:34,360","I've left it with Jason that we are done."
"135","cue","00:06:34,440","00:06:38,520","I'm completely tunnel vision for Austen,
and that's how it's gonna be and…"
"136","cue","00:06:39,160","00:06:41,240","Yeah.
And I'm really happy with my decision."
"137","cue","00:06:41,320","00:06:42,480","Do you like him?"
"138","cue","00:06:43,880","00:06:44,880","[Jason] I actually do."
"139","cue","00:06:47,720","00:06:49,800","He's a good guy.
Me and him could be friends."
"140","cue","00:06:50,800","00:06:52,720","-But probably not in the future.
-[Claudia chuckles]"
"141","cue","00:06:52,800","00:06:55,000","-If I knew him himself. You know?
-Yeah."
"142","cue","00:06:55,080","00:06:58,480","-[Claudia] He's such a good guy, Jason.
-[Jason] Yeah, I can tell. He's good."
"143","cue","00:07:00,240","00:07:03,200","So, hopefully, you know,
it keeps going well."
"144","cue","00:07:05,200","00:07:07,520","-[Claudia] Mmm.
-I feel like that conversation, um,"
"145","cue","00:07:07,600","00:07:09,640","allows me to feel like
that door is closed."
"146","cue","00:07:09,720","00:07:12,720","So I do not feel like there's anything
left for me in the villa."
"147","cue","00:07:22,640","00:07:25,160","[Islanders chattering, laughing]"
"148","cue","00:07:30,360","00:07:32,320","Guys, I wanna raise a toast."
"149","cue","00:07:32,400","00:07:35,240","-Hey!
-[Islanders cheer]"
"150","cue","00:07:35,320","00:07:38,080","[Jason] I wanna raise a toast
to everyone in the villa."
"151","cue","00:07:38,160","00:07:41,040","I wanna say thanks for being so
inviting for me when I came in."
"152","cue","00:07:41,120","00:07:43,320","Um, I came for a specific reason."
"153","cue","00:07:43,920","00:07:47,760","Had to act on what your mom told me,
Claudia. I'm glad I did."
"154","cue","00:07:47,840","00:07:50,680","Um, come to find out,
I don't wanna be with you."
"155","cue","00:07:50,760","00:07:52,080","You don't wanna be with me."
"156","cue","00:07:52,160","00:07:54,640","And on that note,
I wish you all the best of luck."
"157","cue","00:07:59,800","00:08:02,560","Um, if I were to stay in the villa,
I'd have to be fake."
"158","cue","00:08:02,640","00:08:03,920","Never been fake in my life."
"159","cue","00:08:04,000","00:08:05,760","So, on that note, guys, I'm out."
"160","cue","00:08:05,840","00:08:06,880","-Appreciate everyone.
-[gasps]"
"161","cue","00:08:06,960","00:08:08,680","-[Phoebe] Oh, my God.
-[Jason] Best of luck."
