"index","type","start","end","text"
"80","cue","00:04:25,320","00:04:26,480","I'm not wasting my time, but--"
"81","cue","00:04:26,560","00:04:28,800","I wouldn't make you look like a mug
or anything."
"82","cue","00:04:28,880","00:04:30,760","-Make me look like a mug?
-Yeah, I wouldn't--"
"83","cue","00:04:30,840","00:04:32,200","I make myself look like a mug."
"84","cue","00:04:32,280","00:04:34,640","Yeah, you do a good enough job
of that yourself."
"85","cue","00:04:34,720","00:04:37,760","-So you're not gonna--
-So I wouldn't add flame to the fire,"
"86","cue","00:04:37,840","00:04:38,880","or whatever they say."
"87","cue","00:04:38,960","00:04:42,080","[Callum] So, I've just got to tread on
eggshells a little bit so that, you know--"
"88","cue","00:04:42,160","00:04:45,000","I'm trying my best with her.
I actually do want to try my best."
"89","cue","00:04:45,080","00:04:46,560","But at the same time,"
"90","cue","00:04:46,640","00:04:49,320","don't put myself in a situation
where I'm gonna be mugged off."
"91","cue","00:04:49,400","00:04:51,400","-Just keep me in the loop.
-Yeah."
"92","cue","00:04:51,480","00:04:54,560","I don't get mugged off in Australia.
I don't get mugged off in Wales."
"93","cue","00:04:54,640","00:04:56,480","I'm definitely not getting mugged off
in Spain."
"94","cue","00:04:56,560","00:04:59,960","[narrator] <i>After an ex-boyfriend</i>
<i>and two epic bombshells,</i>"
"95","cue","00:05:00,040","00:05:03,360","<i>somehow,</i>
<i>Austen and Claudia are still happy.</i>"
"96","cue","00:05:03,440","00:05:07,160","<i>The producers wish to convey</i>
<i>their sincerest apologies.</i>"
"97","cue","00:05:07,760","00:05:12,920","I think my feelings for you…
have deepened a lot."
"98","cue","00:05:14,040","00:05:17,360","It's getting to a stage where it's like
I've never felt like this before."
"99","cue","00:05:19,920","00:05:21,160","-Really?
-Yeah."
"100","cue","00:05:21,240","00:05:25,120","I've never, like, thought about a girl
so much, ever."
"101","cue","00:05:27,320","00:05:30,680","I get dressed to try to impress you.
I smell good to try to impress you."
"102","cue","00:05:30,760","00:05:34,160","I-- I brush my teeth
so you can say I've got nice breath."
"103","cue","00:05:34,240","00:05:37,000","-Or just something so small like that.
-[chuckles]"
"104","cue","00:05:37,080","00:05:38,120","Yeah. Yeah."
"105","cue","00:05:44,080","00:05:46,320","I've never-- I've never felt this before."
"106","cue","00:05:52,200","00:05:55,280","-That's the end of my TED Talk. [chuckles]
-[chuckling]"
"107","cue","00:05:56,400","00:05:58,360","[inhales deeply] So cute."
"108","cue","00:05:58,440","00:05:59,720","[mouthing words] Yes."
"109","cue","00:06:01,800","00:06:03,320","I'm falling for you, Claudia."
"110","cue","00:06:04,880","00:06:06,360","-Same. [chuckles]
-[chuckles]"
"111","cue","00:06:20,200","00:06:22,000","I think you're very beautiful."
"112","cue","00:06:22,560","00:06:23,680","So are you."
"113","cue","00:06:23,760","00:06:26,800","Me and Phoebs are definitely
closer than ever."
"114","cue","00:06:28,000","00:06:32,440","I am definitely, definitely falling hard."
"115","cue","00:06:32,520","00:06:34,320","You know I'm falling for you."
"116","cue","00:06:34,960","00:06:37,040","And you know I'll say the words
any day now."
"117","cue","00:06:37,120","00:06:39,800","I just-- I don't know.
I want it to be a good time, you know?"
"118","cue","00:06:39,880","00:06:44,480","-Yeah.
-I am, like, pretty much ready to say it."
"119","cue","00:06:45,040","00:06:46,400","-Same. [chuckling]
-[chuckling]"
"120","cue","00:06:47,240","00:06:50,280","-Stop. You're gonna ruin your makeup.
-So?"
"121","cue","00:06:51,040","00:06:52,040","But, um…"
"122","cue","00:06:54,080","00:06:56,200","-But yeah. [chuckling]
-[chuckling]"
"123","cue","00:06:56,280","00:06:58,560","You know, you hope you come in here
and you find that person,"
"124","cue","00:06:58,640","00:07:03,400","but the chances of it actually happening,
I feel, aren't always that high."
"125","cue","00:07:03,480","00:07:05,120","[both chuckling]"
"126","cue","00:07:05,200","00:07:09,360","I'm just kind of mind blown
that I genuinely found someone"
"127","cue","00:07:09,440","00:07:12,480","and I'm actually, like, literally
about to fall in love with the guy."
"128","cue","00:07:13,880","00:07:16,040","-[chuckles] It's so crazy.
-[chuckles] I know."
"129","cue","00:07:24,240","00:07:26,800","{\an8}[narrator]
<i>It's a night of romantic declarations,</i>"
"130","cue","00:07:26,880","00:07:28,760","{\an8}<i>and it continues on the balcony</i>"
"131","cue","00:07:28,840","00:07:33,640","<i>as Phoebe H reveals to Jordan</i>
<i>the truth of her deepest love.</i>"
"132","cue","00:07:33,720","00:07:35,240","I love shopping."
"133","cue","00:07:35,760","00:07:37,680","You're a shopaholic, are you?"
"134","cue","00:07:37,760","00:07:41,320","I wouldn't say I'm a shopaholic,
but I really love just going to the shops."
"135","cue","00:07:42,120","00:07:43,480","I couldn't think of anything worse."
"136","cue","00:07:43,560","00:07:46,600","Well, you already know I'm good at saving.
We've talked about that."
"137","cue","00:07:47,640","00:07:48,920","[meows]"
