"index","type","start","end","text"
"0","cue","00:00:05,964","00:00:07,966","<i>[dramatic music playing]</i>"
"1","cue","00:00:11,011","00:00:12,846","{\an8}<i>[Chelsea sighs] Well, here goes nothing.</i>"
"2","cue","00:00:14,681","00:00:16,933","{\an8}<i>-Hi!</i>
<i>-[Chelsea] Hi, Dad!</i>"
"3","cue","00:00:17,017","00:00:18,393","{\an8}<i>Chelsea, how are you?</i>"
"4","cue","00:00:18,476","00:00:20,520","{\an8}<i>I'm good. Thanks for coming.</i>"
"5","cue","00:00:20,603","00:00:21,521","{\an8}<i>Oh, my goodness.</i>"
"6","cue","00:00:21,604","00:00:23,732","{\an8}<i>-Hello, hello.</i>
<i>-Dad, this is Kwame.</i>"
"7","cue","00:00:23,815","00:00:25,650","{\an8}<i>-This is my dad Charlie.</i>
<i>-Hey, Charlie.</i>"
"8","cue","00:00:25,734","00:00:27,819","{\an8}<i>-Nice to meet you.</i>
<i>-Nice to meet you as well.</i>"
"9","cue","00:00:27,902","00:00:29,404","<i>-All right.</i>
<i>-Come on in.</i>"
"10","cue","00:00:29,487","00:00:30,780","<i>Dad, take a seat.</i>"
"11","cue","00:00:33,616","00:00:37,704","<i>We both got, you know, the opportunity</i>"
"12","cue","00:00:37,787","00:00:42,000","<i>to engage in this social love experiment.</i>"
"13","cue","00:00:42,083","00:00:43,293","<i>[Charlie] Mm-hmm.</i>"
"14","cue","00:00:43,376","00:00:46,838","<i>And we dated a lot of people.</i>
<i>We do not see one another.</i>"
"15","cue","00:00:46,921","00:00:50,467","<i>The idea is that you're kind of getting</i>
<i>to the core of your values.</i>"
"16","cue","00:00:50,550","00:00:53,011","<i>You're being vulnerable,</i>
<i>talking about your life, your stories.</i>"
"17","cue","00:00:53,094","00:00:54,387","<i>What made you who you are.</i>"
"18","cue","00:00:54,471","00:00:55,972","<i>[Charlie] Mm-hmm.</i>"
"19","cue","00:00:56,056","00:00:58,933","<i>Can we have this connection</i>
<i>beyond the physical?</i>"
"20","cue","00:00:59,017","00:01:00,935","<i>-Mm-hmm.</i>
<i>-[Chelsea] Um, and we did.</i>"
"21","cue","00:01:01,019","00:01:02,353","<i>It really just felt right.</i>"
"22","cue","00:01:02,437","00:01:06,066","<i>-[Charlie] Hmm.</i>
<i>-And the idea is, you know, is love blind?</i>"
"23","cue","00:01:06,149","00:01:08,860","<i>Can you fall in love with somebody</i>
<i>without ever seeing them?</i>"
"24","cue","00:01:09,903","00:01:12,530","<i>And we fell in love blind.</i>"
"25","cue","00:01:13,156","00:01:15,158","<i>And at the end,</i>"
"26","cue","00:01:16,284","00:01:17,786","<i>he proposed to me.</i>"
"27","cue","00:01:19,496","00:01:20,330","<i>Okay.</i>"
"28","cue","00:01:20,413","00:01:22,665","<i>-Um, and I said yes.</i>
<i>-[laughing]</i>"
"29","cue","00:01:23,166","00:01:24,584","<i>Oh, you did?</i>"
"30","cue","00:01:24,667","00:01:26,795","<i>[Kwame and Chelsea laughing]</i>"
"31","cue","00:01:26,878","00:01:28,922","<i>Well, isn't that something?</i>"
"32","cue","00:01:29,005","00:01:31,007","<i>[laughing]</i>"
"33","cue","00:01:32,300","00:01:35,762","<i>-I'm so happy for you, honey.</i>
<i>-Yeah, thanks, Dad.</i>"
"34","cue","00:01:35,845","00:01:38,306","<i>Oh, my gosh. Well, that's amazing.</i>"
"35","cue","00:01:39,224","00:01:40,058","<i>[both] Yeah.</i>"
"36","cue","00:01:40,141","00:01:41,059","<i>I'll be darned.</i>"
"37","cue","00:01:42,018","00:01:45,021","<i>Um, I'm shocked.</i>"
"38","cue","00:01:45,105","00:01:47,315","<i>Okay, guys, let's eat. Come on up.</i>"
"39","cue","00:01:47,398","00:01:51,903","{\an8}<i>But I'm super hopeful that the rest</i>
<i>of my family will accept Kwame</i>"
"40","cue","00:01:51,986","00:01:55,156","<i>and will understand our connection</i>
<i>and our relationship.</i>"
"41","cue","00:01:55,240","00:01:56,574","<i>Just as much as my dad does.</i>"
