"index","type","start","end","text"
"0","cue","00:00:06,631","00:00:08,466","<i>[rock music playing]</i>"
"1","cue","00:00:09,592","00:00:11,428","<i>[man] So, what brought you</i>
<i>to this experiment?</i>"
"2","cue","00:00:11,511","00:00:15,640","<i>What brought me</i>
<i>to dating blindly in pods? [laughs]</i>"
"3","cue","00:00:18,935","00:00:23,064","<i>[woman] I'm really looking for somebody</i>
<i>who will accept all of me.</i>"
"4","cue","00:00:23,148","00:00:24,649","<i>[woman 2] True, pure love.</i>"
"5","cue","00:00:24,733","00:00:26,860","<i>[pop music playing]</i>
<span style=""style2"">♪ When I was young, I… ♪</i>"
"6","cue","00:00:26,943","00:00:30,447","<i>[woman 3] I feel like</i>
<i>I've never felt so in love.</i>"
"7","cue","00:00:30,530","00:00:32,032","<i>[man 2] I came here looking for a wife,</i>"
"8","cue","00:00:32,115","00:00:34,993","<i>and there are two women</i>
<i>that I could have seen myself with.</i>"
"9","cue","00:00:35,076","00:00:36,286","<i>-And…</i>
<i>-[exhales]</i>"
"10","cue","00:00:36,369","00:00:38,455","<i>…I chose the one that I felt in my gut.</i>"
"11","cue","00:00:39,039","00:00:42,876","<i>[man 3] This arguably is</i>
<i>the biggest decision I'm ever gonna make.</i>"
"12","cue","00:00:42,959","00:00:44,335","<i>[woman 4] Is love blind?</i>"
"13","cue","00:00:44,878","00:00:47,255","<i>[man 2] I proposed to someone</i>
<i>I was gonna spend my life with,</i>"
"14","cue","00:00:47,338","00:00:50,467","<i>and now I'm gonna propose</i>
<i>to another woman.</i>"
"15","cue","00:00:50,550","00:00:52,135","<i>I made the wrong choice.</i>"
"16","cue","00:00:52,260","00:00:55,263","<i>-You know I did, and I do too.</i>
<i>-[woman 5 screams]</i>"
"17","cue","00:00:56,306","00:00:58,183","<i>-[pop music playing]</i>
<i>-</i><span style=""style2"">♪ Anything is possible ♪</i>"
"18","cue","00:00:58,266","00:01:00,602","<i>♪ If we come together ♪</i>"
"19","cue","00:01:00,685","00:01:02,771","<i>♪ We can lie divided ♪</i>"
"20","cue","00:01:02,854","00:01:05,231","{\an8}<i>♪ Even through impossible ♪</i>"
"21","cue","00:01:05,315","00:01:06,608","{\an8}<i>♪ Anything is possible… ♪</i>"
"22","cue","00:01:06,691","00:01:09,360","{\an8}<i>-I'm feeling good. You feeling good?</i>
<i>-[laughing]</i>"
"23","cue","00:01:09,444","00:01:11,529","<i>-Yeah.</i>
<i>-[laughing]</i>"
"24","cue","00:01:11,613","00:01:14,032","{\an8}<i>[woman] No, we could meet our husbands.</i>
<i>This is crazy!</i>"
"25","cue","00:01:14,115","00:01:15,700","{\an8}<i>-So crazy. Right.</i>
<i>-[laughing]</i>"
"26","cue","00:01:16,659","00:01:17,994","<i>-Fellas!</i>
<i>-Hi!</i>"
"27","cue","00:01:18,078","00:01:19,996","<i>[cheering]</i>"
"28","cue","00:01:20,080","00:01:21,206","<i>[Vanessa] Wow!</i>"
"29","cue","00:01:21,289","00:01:22,540","<i>What's up?</i>"
"30","cue","00:01:22,624","00:01:23,833","<i>Hi!</i>"
"31","cue","00:01:23,917","00:01:25,168","<i>Hi! [laughs]</i>"
"32","cue","00:01:27,212","00:01:28,713","<i>Wow!</i>"
"33","cue","00:01:28,797","00:01:30,715","<i>-Whoo!</i>
<i>-[cheering]</i>"
"34","cue","00:01:30,799","00:01:32,342","<i>[Nick] Love it!</i>"
"35","cue","00:01:32,425","00:01:34,052","{\an8}<i>I'm Vanessa Lachey.</i>"
"36","cue","00:01:34,135","00:01:35,553","{\an8}<i>And I'm Nick Lachey.</i>"
"37","cue","00:01:35,637","00:01:38,515","<i>And welcome to </i><span style=""style2"">Love is Blind.</i>"
"38","cue","00:01:38,598","00:01:41,184","<i>-[cheering]</i>
<i>-[laughing]</i>"
"39","cue","00:01:41,267","00:01:43,186","<i>-Whoo!</i>
<i>-[laughing]</i>"
"40","cue","00:01:44,062","00:01:48,191","<i>I'm curious. Why did you guys come here?</i>"
"41","cue","00:01:48,274","00:01:51,027","{\an8}<i>I find myself easily distracted</i>
<i>with work, my phone,</i>"
"42","cue","00:01:51,111","00:01:54,197","<i>and this is just the perfect opportunity</i>
<i>to set that aside.</i>"
"43","cue","00:01:54,280","00:01:56,199","<i>-Boom! Go, baby. Yeah.</i>
<i>-[Vanessa] Laser-focused.</i>"
"44","cue","00:01:56,282","00:02:00,537","{\an8}<i>Your body, your looks, even your career.</i>
<i>Literally, everything in life is fleeting,</i>"
"45","cue","00:02:00,620","00:02:03,748","<i>except the relationship</i>
<i>you have with your life partner.</i>"
"46","cue","00:02:03,832","00:02:06,709","{\an8}<i>This whole idea of swiping left or right</i>
<i>over four pictures.</i>"
"47","cue","00:02:06,793","00:02:09,963","{\an8}<i>You might call me old-fashioned</i>
<i>or whatnot, but that's not me.</i>"
"48","cue","00:02:10,046","00:02:11,714","{\an8}<i>I've been in long-term relationships,</i>"
"49","cue","00:02:11,798","00:02:13,550","{\an8}<i>but I've never truly felt, like,</i>
<i>in my soul,</i>"
"50","cue","00:02:13,633","00:02:15,593","{\an8}<i>like, yes, this is the person for me.</i>"
"51","cue","00:02:15,677","00:02:18,138","<i>I wanna have that feeling</i>
<i>walking out of here.</i>"
"52","cue","00:02:18,221","00:02:20,723","{\an8}<i>-He's here. I just have to find him.</i>
<i>-[laughing]</i>"
"53","cue","00:02:20,807","00:02:24,185","<i>You finally have the chance</i>
<i>to fall in love with somebody</i>"
"54","cue","00:02:24,269","00:02:26,813","{\an8}<i>based solely on who you are on the inside.</i>"
"55","cue","00:02:27,397","00:02:29,566","<i>[Nick] And ultimately</i>
<i>when you fall in love</i>"
"56","cue","00:02:29,649","00:02:32,443","<i>and find somebody you wanna spend</i>
<i>the rest of your life with,</i>"
"57","cue","00:02:32,527","00:02:33,611","<i>you'll get engaged.</i>"
"58","cue","00:02:33,695","00:02:40,160","{\an8}<i>Then you will see your fiancé</i>
<i>for the very first time!</i>"
"59","cue","00:02:40,243","00:02:43,496","<i>And in just four weeks,</i>
<i>you will be at your wedding,</i>"
"60","cue","00:02:43,580","00:02:46,624","<i>and you'll have to make</i>
<i>the most important decision of your life.</i>"
"61","cue","00:02:46,708","00:02:48,334","<i>-Will you get married?</i>
<i>-[gasps]</i>"
"62","cue","00:02:48,418","00:02:51,421","<i>Will you spend the rest of your life</i>
<i>as husband and wife?</i>"
"63","cue","00:02:52,088","00:02:54,716","{\an8}<i>Or in that moment, will you</i>
<i>walk away from each other forever?</i>"
"64","cue","00:02:55,842","00:02:58,595","{\an8}<i>Is love truly blind?</i>"
"65","cue","00:03:00,096","00:03:03,433","{\an8}<i>We certainly hope</i>
<i>that you guys prove it is.</i>"
"66","cue","00:03:04,225","00:03:06,895","{\an8}<i>-The pods are officially…</i>
<i>-[both] …open.</i>"
"67","cue","00:03:06,978","00:03:09,314","<i>-[cheering]</i>
<i>-[Nick] Good luck, guys. Good luck.</i>"
"68","cue","00:03:09,397","00:03:10,982","<i>[woman] Thank you! Bye!</i>"
"69","cue","00:03:11,065","00:03:13,026","<i>[pop music playing] </i><span style=""style2"">♪ Don't be scared… ♪</i>"
"70","cue","00:03:13,109","00:03:15,612","<i>-Put the fruit snacks down, man.</i>
<i>-[man laughs] Yeah. Fruit.</i>"
"71","cue","00:03:15,695","00:03:17,822","<i>-Oh, my gosh, ladies.</i>
<i>-[Chelsea] Bye!</i>"
"72","cue","00:03:17,906","00:03:21,743","{\an8}<i>Dating on dating apps,</i>
<i>it is so easy to find a boyfriend.</i>"
"73","cue","00:03:21,826","00:03:23,536","<i>♪ Walk through doors with confidence ♪</i>"
"74","cue","00:03:23,620","00:03:25,496","<i>♪ High heels, click-click</i>
<i>Always make your move ♪</i>"
"75","cue","00:03:25,580","00:03:27,290","<i>They're like, ""Oh,</i>
<i>let me have sex with you.""</i>"
"76","cue","00:03:28,499","00:03:29,918","<i>I'm so sick of that.</i>"
"77","cue","00:03:30,001","00:03:32,170","<i>My parents are like,</i>
<i>""Why don't you meet a guy at a bar?""</i>"
"78","cue","00:03:32,962","00:03:34,214","<i>Who does that anymore?</i>"
"79","cue","00:03:34,297","00:03:35,381","<i>-[man] Your name?</i>
<i>-Chelsea.</i>"
"80","cue","00:03:35,465","00:03:37,008","<i>-I'm Kwame.</i>
<i>-Cool name.</i>"
"81","cue","00:03:37,091","00:03:40,178","{\an8}<i>-Thank you. It means ""born on Saturday.""</i>
<i>-I love it. I love it.</i>"
"82","cue","00:03:40,261","00:03:42,931","<i>-Saturday is the best day of the week.</i>
<i>-Agreed.</i>"
"83","cue","00:03:43,014","00:03:45,308","<i>So, hey, Chelsea,</i>
<i>tell me what makes you happy.</i>"
"84","cue","00:03:45,391","00:03:47,477","<i>Bringing joy and fulfillment</i>
<i>to other people.</i>"
"85","cue","00:03:47,560","00:03:49,229","<i>-Okay, I love that.</i>
<i>-Um, growing, learning.</i>"
"86","cue","00:03:49,312","00:03:51,481","<i>-I can dig that.</i>
<i>-Uh, shoes make me happy.</i>"
"87","cue","00:03:51,564","00:03:52,774","<i>[laughs]</i>"
"88","cue","00:03:52,857","00:03:55,610","<i>-Want to guess how many shoes I brought?</i>
<i>-I'm gonna say 13.</i>"
"89","cue","00:03:56,110","00:03:57,695","<i>-[laughs] No.</i>
<i>-How many?</i>"
"90","cue","00:03:57,779","00:04:00,823","<i>-Twenty-one.</i>
<i>-Twenty-one! I like it. You're stylish.</i>"
"91","cue","00:04:01,532","00:04:02,533","<i>[Chelsea] What do you do?</i>"
"92","cue","00:04:02,617","00:04:04,494","<i>-I used to play soccer for a living.</i>
<i>-Oh, wow.</i>"
"93","cue","00:04:04,577","00:04:06,454","<i>-[Kwame] Yeah.</i>
<i>-Soccer player on our hands?</i>"
"94","cue","00:04:06,537","00:04:07,914","<i>[laughs]</i>"
"95","cue","00:04:07,997","00:04:10,917","<i>Unfortunately, a career-ending injury</i>
<i>brought me back to the States.</i>"
"96","cue","00:04:11,000","00:04:12,919","<i>-[Chelsea] Oh, I'm sorry.</i>
<i>-Yeah.</i>"
"97","cue","00:04:13,002","00:04:15,838","<i>I'm sure people</i>
<i>don't give you enough, like, credit</i>"
"98","cue","00:04:15,922","00:04:18,258","<i>for, like, how hard transitioning is.</i>"
"99","cue","00:04:18,341","00:04:20,551","<i>Chelsea, when I say</i>
<i>I don't know if I'll get over it,</i>"
"100","cue","00:04:20,635","00:04:22,262","<i>I don't know if I'll ever get over it.</i>"
"101","cue","00:04:22,345","00:04:25,265","<i>And I just started a new job</i>
<i>as the head of business development</i>"
"102","cue","00:04:25,348","00:04:27,517","<i>for a software company. I love my job now.</i>"
"103","cue","00:04:27,600","00:04:30,853","<i>It's providing me a life</i>
<i>that I'm very happy about.</i>"
"104","cue","00:04:30,937","00:04:33,940","<i>It's providing me opportunities</i>
<i>getting to work with incredible people.</i>"
"105","cue","00:04:35,024","00:04:38,444","<i>I appreciate you asking that question</i>
<i>and for hearing me out and, uh…</i>"
"106","cue","00:04:39,195","00:04:41,698","<i>-I don't get to talk about it often.</i>
<i>-I wanna hug you.</i>"
"107","cue","00:04:41,781","00:04:43,741","<i>[laughing]</i>"
"108","cue","00:04:43,825","00:04:47,787","{\an8}<i>Most important things to me</i>
<i>in a partner are empathy and compassion.</i>"
"109","cue","00:04:48,496","00:04:53,626","<i>I went through a lot of my life</i>
<i>not knowing, like, where I stood.</i>"
"110","cue","00:04:54,419","00:04:55,962","<i>I think I'm a really good person.</i>"
"111","cue","00:04:56,879","00:05:00,383","<i>And I couldn't pick up my girlfriend</i>
<i>to go to prom because I'm Black.</i>"
"112","cue","00:05:00,466","00:05:04,095","<i>So, I always feel this need to impress.</i>"
