"index","type","start","end","text"
"0","cue","00:00:06,006","00:00:08,299","{\an8}<i>[slow-tempo music playing]</i>"
"1","cue","00:00:22,939","00:00:23,857","{\an8}<i>[Kwame] What's up?</i>"
"2","cue","00:00:25,025","00:00:28,069","{\an8}<i>I was very, very excited to marry you.</i>"
"3","cue","00:00:29,237","00:00:30,905","{\an8}<i>-Mm-hmm.</i>
<i>-[Chelsea] But last night…</i>"
"4","cue","00:00:30,989","00:00:33,491","{\an8}<i>You saying how it's important</i>"
"5","cue","00:00:33,575","00:00:35,869","{\an8}<i>that I don't take your name</i>"
"6","cue","00:00:36,911","00:00:40,498","{\an8}<i>until you're able to speak</i>
<i>to your mother about it,</i>"
"7","cue","00:00:40,999","00:00:44,210","<i>and, you know, make sure that she</i>"
"8","cue","00:00:45,211","00:00:46,212","<i>has a say</i>"
"9","cue","00:00:47,338","00:00:50,300","<i>in our marriage…</i>"
"10","cue","00:00:52,427","00:00:55,346","<i>I respect and understand</i>
<i>the situation with your mom,</i>"
"11","cue","00:00:55,430","00:00:57,974","<i>but we've been side by side</i>
<i>the whole time.</i>"
"12","cue","00:00:58,475","00:01:01,936","<i>And that may ultimately</i>
<i>lead to us saying yes,</i>"
"13","cue","00:01:02,020","00:01:05,065","<i>getting married,</i>
<i>without your mom's blessing.</i>"
"14","cue","00:01:06,274","00:01:10,570","<i>I feel like it's gonna be tough for me</i>
<i>to just look at my mom and be like,</i>"
"15","cue","00:01:10,653","00:01:14,032","<i>""You've cared for me</i>
<i>and loved me for 32 years,</i>"
"16","cue","00:01:14,115","00:01:17,410","<i>and I'm just throwing your opinion away.""</i>"
"17","cue","00:01:17,494","00:01:18,453","<i>That's not fair.</i>"
"18","cue","00:01:19,454","00:01:21,331","<i>I know it's a tough scenario to be in.</i>"
"19","cue","00:01:21,414","00:01:24,751","<i>To be like, ""Hey, I feel like I'm all-in</i>
<i>to wanna be with somebody,</i>"
"20","cue","00:01:24,834","00:01:26,628","<i>and they're not all-in</i>
<i>to wanna be with me.""</i>"
"21","cue","00:01:27,921","00:01:29,255","<i>And it's not the case.</i>"
"22","cue","00:01:30,882","00:01:34,594","<i>Last night you were like,</i>
<i>you had this, um, like, large,</i>"
"23","cue","00:01:34,677","00:01:36,846","<i>kind of, like, looming idea</i>"
"24","cue","00:01:36,930","00:01:39,474","<i>that, like, our marriage</i>
<i>and our next year and all,</i>"
"25","cue","00:01:39,557","00:01:42,685","<i>it's gonna be really,</i>
<i>like, hard and laborious</i>"
"26","cue","00:01:42,769","00:01:43,812","<i>and, like, tough.</i>"
"27","cue","00:01:44,479","00:01:46,648","<i>Um, which there will be tough moments.</i>"
"28","cue","00:01:48,108","00:01:49,692","<i>Of course, right?</i>"
"29","cue","00:01:49,776","00:01:52,570","<i>I think I see, like,</i>
<i>more of a wholesome picture.</i>"
"30","cue","00:01:52,654","00:01:56,366","<i>And want you to see, like, the joy.</i>"
"31","cue","00:01:56,449","00:01:58,409","<i>We haven't even had,</i>
<i>like, the best moments</i>"
"32","cue","00:01:58,493","00:02:00,328","<i>and days of our lives together.</i>"
"33","cue","00:02:03,832","00:02:04,666","<i>[Kwame] Yeah.</i>"
"34","cue","00:02:05,959","00:02:08,878","<i>I see it as much more</i>
<i>of a positive journey.</i>"
"35","cue","00:02:08,962","00:02:12,048","<i>It's not that it's gonna be a hard year.</i>
<i>In the grand scheme of our relationship,</i>"
"36","cue","00:02:12,132","00:02:13,800","<i>it is going to be one</i>
<i>of the toughest years.</i>"
"37","cue","00:02:13,883","00:02:15,135","<i>We don't really know that, babe.</i>"
"38","cue","00:02:15,218","00:02:17,971","<i>I'm hoping that we start off amazing,</i>"
"39","cue","00:02:18,054","00:02:20,473","<i>and it just gets better,</i>
<i>but there's gonna be hard years.</i>"
"40","cue","00:02:20,557","00:02:22,517","<i>I don't think we can predict right now…</i>"
"41","cue","00:02:24,978","00:02:27,188","<i>-Yeah.</i>
<i>-…what year is gonna be our hardest year.</i>"
"42","cue","00:02:27,272","00:02:29,482","<i>Or, like, you know, we just don't know.</i>"
"43","cue","00:02:29,566","00:02:31,860","<i>I know that. It's not a prediction.</i>"
"44","cue","00:02:31,943","00:02:34,279","<i>I don't know, like I said,</i>
<i>maybe I'm overthinking everything,</i>"
"45","cue","00:02:34,362","00:02:36,990","<i>but sometimes-- sometimes, occasionally,</i>"
"46","cue","00:02:37,073","00:02:39,409","<i>it helps to overthink. Sometimes.</i>"
"47","cue","00:02:40,869","00:02:43,121","<i>This is-- It's-- It's a big step for me.</i>"
"48","cue","00:02:44,372","00:02:48,209","<i>My dad doesn't even know,</i>
<i>and my mom doesn't even wanna know.</i>"
"49","cue","00:02:48,293","00:02:52,380","<i>I think we will need support</i>
<i>of our family in our marriage, 100%.</i>"
"50","cue","00:02:54,048","00:02:54,883","<i>Yeah.</i>"
"51","cue","00:02:54,966","00:02:57,802","<i>But falling in love with you in the pods</i>
<i>was one of the most sacred,</i>"
"52","cue","00:02:57,886","00:02:59,846","<i>beautiful things I ever got to do.</i>"
"53","cue","00:02:59,929","00:03:02,015","<i>Because my family has thoughts.</i>"
"54","cue","00:03:02,098","00:03:03,516","<i>-Opinions, right?</i>
<i>-Yeah.</i>"
"55","cue","00:03:04,893","00:03:07,937","<i>I fell in love with you</i>
<i>and picked you for me.</i>"
"56","cue","00:03:09,147","00:03:10,940","<i>And it's truly the first time</i>
<i>in my entire life</i>"
"57","cue","00:03:11,024","00:03:12,609","<i>I can wholeheartedly say that.</i>"
"58","cue","00:03:16,154","00:03:18,364","<i>And for that reason, I'm so at peace.</i>"
"59","cue","00:03:18,948","00:03:21,534","<i>-I don't care what they think.</i>
<i>-[Kwame] Listen.</i>"
"60","cue","00:03:23,286","00:03:26,080","<i>When we get up to that altar,</i>
<i>it comes down to….</i>"
"61","cue","00:03:27,874","00:03:33,463","<i>It comes down to the decision</i>
<i>that will make us both happiest.</i>"
"62","cue","00:03:33,546","00:03:36,216","<i>So, I just wanna make sure</i>
<i>that we're both happy going into it.</i>"
"63","cue","00:03:40,303","00:03:41,221","<i>Of course. [chuckles]</i>"
"64","cue","00:03:42,722","00:03:45,308","<i>-Why wouldn't we be happy?</i>
<i>-Don't do that. Stop that.</i>"
"65","cue","00:03:46,184","00:03:49,312","<i>Don't do that. I'm just saying.</i>
<i>Look, we're making a decision.</i>"
"66","cue","00:03:49,395","00:03:50,271","<i>It's a big decision.</i>"
"67","cue","00:03:50,355","00:03:54,317","<i>We're just considering</i>
<i>all the factors of what goes into that.</i>"
"68","cue","00:03:55,151","00:03:56,152","<i>-Of course.</i>
<i>-Okay.</i>"
"69","cue","00:03:56,236","00:03:59,197","<i>But if you didn't make me the happiest</i>
<i>I've felt in my entire fucking life…</i>"
"70","cue","00:04:00,573","00:04:02,992","<i>-I would not be here marrying you.</i>
<i>-Okay.</i>"
"71","cue","00:04:09,791","00:04:11,376","<i>I'm here for you. You know that, right?</i>"
"72","cue","00:04:11,459","00:04:13,253","<i>[chuckles] I know. I know.</i>"
