"index","type","start","end","text"
"0","cue","00:00:06,006","00:00:08,049","<i>[slow-tempo music playing]</i>"
"1","cue","00:00:10,802","00:00:13,096","<i>I believe there's nobody in this world</i>"
"2","cue","00:00:13,888","00:00:16,474","<i>who I'm meant to be with more than you.</i>"
"3","cue","00:00:23,398","00:00:24,482","<i>Will you marry me?</i>"
"4","cue","00:00:27,027","00:00:29,487","<i>[heart beating]</i>"
"5","cue","00:00:33,992","00:00:34,826","<i>Yeah.</i>"
"6","cue","00:00:37,328","00:00:38,788","<i>-It's this one…</i>
<i>-[chuckles]</i>"
"7","cue","00:00:38,872","00:00:41,082","<i>-[""If You Love Her"" by playing]</i>
<i>-</i><span style=""style2"">♪ Kiss her with passion ♪</i>"
"8","cue","00:00:41,166","00:00:43,084","<i>♪ As much as you can ♪</i>"
"9","cue","00:00:43,168","00:00:47,881","<i>♪ Run your hands through her hair</i>
<i>Whenever she's sad ♪</i>"
"10","cue","00:00:47,964","00:00:51,259","<i>♪ And when she doesn't notice</i>
<i>How pretty… ♪</i>"
"11","cue","00:00:51,342","00:00:53,595","<i>-[Bliss] It's pink.</i>
<i>-[both laugh]</i>"
"12","cue","00:00:53,678","00:00:57,474","<i>♪ …over and over so she never forgets ♪</i>"
"13","cue","00:00:57,557","00:00:59,350","<i>♪ Take it ♪</i>"
"14","cue","00:00:59,434","00:01:01,311","<i>♪ If she gives you her heart ♪</i>"
"15","cue","00:01:01,394","00:01:03,938","<i>♪ Don't you break it ♪</i>"
"16","cue","00:01:04,022","00:01:08,359","<i>♪ Let your arms be a place</i>
<i>She feels safe in ♪</i>"
"17","cue","00:01:08,443","00:01:12,322","<i>♪ She's the best thing</i>
<i>That you'll ever have ♪</i>"
"18","cue","00:01:13,156","00:01:16,743","<i>♪ She'll love you</i>
<i>If you love her like that ♪</i>"
"19","cue","00:01:16,826","00:01:18,995","<i>[Bliss laughs] I can't believe</i>
<i>you did that.</i>"
"20","cue","00:01:21,706","00:01:22,624","<i>[Zack] I'm so excited.</i>"
"21","cue","00:01:22,707","00:01:24,667","<i>-[Bliss] This is nuts.</i>
<i>-This is fucking insane.</i>"
"22","cue","00:01:24,751","00:01:25,585","<i>[Bliss] Yeah.</i>"
"23","cue","00:01:25,668","00:01:28,463","<i>[laughing] Who proposes</i>
<i>to someone twice in a month?</i>"
"24","cue","00:01:28,546","00:01:31,508","<i>-[Zack] Just me.</i>
<i>-[both laughing]</i>"
"25","cue","00:01:32,092","00:01:33,802","<i>I really thought</i>
<i>you might say no. [laughs]</i>"
"26","cue","00:01:33,885","00:01:35,637","<i>[Bliss] Oh, I thought about it.</i>"
