"index","type","start","end","text"
"0","cue","00:00:06,006","00:00:09,759","<i>-[pop music playing]</i>
<span style=""style2"">-♪ In the moment, hear me roar ♪</i>"
"1","cue","00:00:09,843","00:00:11,845","<i>[chattering]</i>"
"2","cue","00:00:13,430","00:00:15,890","<i>-[Tiffany] Was that trendy?</i>
<i>-You had Chelsea pissed off.</i>"
"3","cue","00:00:15,974","00:00:17,934","{\an8}<i>-When I tell you this, girl--</i>
<i>-Really?</i>"
"4","cue","00:00:18,018","00:00:21,146","{\an8}<i>Girl… Yeah, you had Chelsea</i>
<i>feeling some type of way.</i>"
"5","cue","00:00:21,229","00:00:22,731","{\an8}<i>So, what was she saying?</i>"
"6","cue","00:00:23,231","00:00:25,650","{\an8}<i>She just didn't like how long</i>
<i>you were having a conversation.</i>"
"7","cue","00:00:25,734","00:00:28,570","<i>So I would not be surprised</i>
<i>if she's handling that right now.</i>"
"8","cue","00:00:28,653","00:00:31,281","<i>I do get it, 'cause that would make me</i>
<i>probably feel uncomfortable,</i>"
"9","cue","00:00:31,364","00:00:33,950","<i>but at the same time,</i>
<i>it's nothing to do with you, really.</i>"
"10","cue","00:00:34,034","00:00:35,660","{\an8}<i>-But go for it.</i>
<i>-Yeah.</i>"
"11","cue","00:00:35,744","00:00:37,370","{\an8}<i>[Jackelina] I love Chelsea and everything,</i>"
"12","cue","00:00:37,454","00:00:40,832","<i>but I'm pretty sure Micah</i>
<i>doesn't want your man.</i>"
"13","cue","00:00:41,416","00:00:44,169","<i>Because if she wanted him,</i>
<i>she would have him, shorty.</i>"
"14","cue","00:00:44,252","00:00:46,504","<i>[chuckles] Yeah, no. I mean, I agree.</i>"
"15","cue","00:00:49,215","00:00:50,925","<i>Irina hates her man. I know it.</i>"
"16","cue","00:00:52,802","00:00:57,015","<i>-I feel like he's on a different planet.</i>
<i>-You know, Bliss dodged a bullet.</i>"
"17","cue","00:00:57,098","00:00:59,142","<i>-I feel like that too.</i>
<i>-[Tiffany] Yeah, yeah.</i>"
"18","cue","00:01:00,894","00:01:03,813","<i>[Jackelina] I wouldn't hire him</i>
<i>as my lawyer. Mm.</i>"
"19","cue","00:01:03,897","00:01:05,190","<i>Guilty!</i>"
