"index","type","start","end","text"
"0","cue","00:00:05,964","00:00:07,090","<i>[pop music playing]</i>"
"1","cue","00:00:07,173","00:00:11,344","<i>♪ You don't wanna know the person</i>
<i>I call myself ♪</i>"
"2","cue","00:00:11,428","00:00:13,596","<i>[Tiffany snoring softly]</i>"
"3","cue","00:00:15,890","00:00:17,976","<i>-♪ You don't wanna know ♪</i>
<i>-</i><span style=""style1"">{\an8}[knock at door]</i>"
"4","cue","00:00:18,059","00:00:20,353","{\an8}<i>♪ What's hiding in someone's head… ♪</i>"
"5","cue","00:00:21,479","00:00:22,313","<i>Tiffy?</i>"
"6","cue","00:00:24,315","00:00:25,150","{\an8}<i>Hey, Tiff.</i>"
"7","cue","00:00:27,193","00:00:28,820","{\an8}<i>Your date is over, sweetie.</i>"
"8","cue","00:00:29,404","00:00:31,322","<i>-Okay?</i>
<span style=""style2"">-</i><i>[Tiffany] Mm-hmm.</i>"
"9","cue","00:00:31,406","00:00:33,992","<i>-♪ I just wanna get your attention</i><span style=""style1""> ♪</i>
<span style=""style1"">-[Tiffany chuckles]</i>"
"10","cue","00:00:34,075","00:00:37,829","<i>[all]</i><span style=""style2""> ♪ I really wanna be</i>
<span style=""style2"">All up in your head </i><i>♪</i>"
"11","cue","00:00:37,912","00:00:39,998","<i>-Hey!</i>
<i>-[snapping fingers]</i>"
"12","cue","00:00:40,081","00:00:43,168","<i>-♪ But I wanna, gonna get some</i><span style=""style1""> ♪</i>
<span style=""style1"">-[laughing]</i>"
"13","cue","00:00:43,251","00:00:47,088","<i>♪ I really wanna make you my wife, ow! ♪</i>"
"14","cue","00:00:47,172","00:00:49,257","<i>-[April] Really? Wow.</i>
<i>-[Chelsea] </i><span style=""style2"">♪ So I said hey, hey ♪</i>"
"15","cue","00:00:49,340","00:00:51,426","<i>♪ Hey, Daddy, hey, hey ♪</i>"
"16","cue","00:00:51,509","00:00:54,137","<i>♪ Hey, Daddy, hey, hey ♪</i>"
"17","cue","00:00:54,220","00:00:56,806","<i>-♪ Hey, Daddy, hey, hey…</i><span style=""style1""> ♪</i>
<span style=""style1"">-Let's go back. Let's do it.</i>"
"18","cue","00:00:56,890","00:00:59,142","<i>-[Chelsea] Are you good, baby?</i>
<i>-What do you need?</i>"
"19","cue","00:00:59,225","00:01:01,061","<i>Okay. Here's your shoes.</i>"
"20","cue","00:01:01,144","00:01:04,314","<i>-[April] I'll grab your stuff.</i>
<i>-[Chelsea] Can you give her some water?</i>"
"21","cue","00:01:04,397","00:01:05,899","<i>-Is Brett still here?</i>
<i>-[Chelsea] No.</i>"
"22","cue","00:01:05,982","00:01:08,902","<i>-[gasps] Oh, my God. Oh, my God.</i>
<i>-[Chelsea] It's okay. It's okay.</i>"
"23","cue","00:01:08,985","00:01:10,153","<i>It's all right.</i>"
"24","cue","00:01:10,236","00:01:12,322","<i>No! I feel so bad.</i>"
"25","cue","00:01:12,405","00:01:14,449","<i>-[pop music playing]</i>
<i>-[vocalizing]</i>"
"26","cue","00:01:14,532","00:01:16,534","<i>♪ Say something ♪</i>"
"27","cue","00:01:17,535","00:01:21,790","<i>♪ Won't you say something? ♪</i>"
"28","cue","00:01:21,873","00:01:24,125","<i>-♪ Oh, yeah! ♪</i>
<i>-♪ You'll be true ♪</i>"
"29","cue","00:01:24,209","00:01:26,711","{\an8}<i>♪ Ooh-ooh, ooh-ooh-ooh… ♪</i>"
"30","cue","00:01:26,795","00:01:28,797","{\an8}<i>I truly believe</i>
<i>that everybody's gonna end up</i>"
"31","cue","00:01:28,880","00:01:31,299","{\an8}<i>with the person</i>
<i>that's for them, regardless.</i>"
"32","cue","00:01:31,382","00:01:33,802","{\an8}<i>It's just hard.</i>
<i>There's so many great people.</i>"
"33","cue","00:01:33,885","00:01:36,513","{\an8}<i>It is, yeah.</i>
<i>Josh checks off all the boxes.</i>"
"34","cue","00:01:36,596","00:01:38,556","<i>And Marshall. He's a great person.</i>"
"35","cue","00:01:38,640","00:01:40,934","<i>They're neck and neck right now.</i>
<i>I can't be too mad.</i>"
"36","cue","00:01:41,017","00:01:44,062","{\an8}<i>I've been here a week,</i>
<i>and I call it the accelerated program.</i>"
"37","cue","00:01:44,145","00:01:45,980","{\an8}<i>People are falling in love here.</i>"
"38","cue","00:01:46,064","00:01:47,774","{\an8}<i>My connections are Marshall,</i>"
"39","cue","00:01:47,857","00:01:49,901","{\an8}<i>and my other connection is with Josh.</i>"
"40","cue","00:01:49,984","00:01:53,655","{\an8}<i>I love them both. We both vibe so well.</i>"
"41","cue","00:01:54,155","00:01:57,450","<i>Marshall's sensitive. Marshall is smooth.</i>"
"42","cue","00:01:57,534","00:02:01,204","<i>He's sentimental. He's so calm and giving.</i>"
"43","cue","00:02:01,287","00:02:03,373","<i>The opposite energy of what I am.</i>"
"44","cue","00:02:03,456","00:02:06,209","<i>What's your favorite thing</i>
<i>you discovered about me so far?</i>"
"45","cue","00:02:06,292","00:02:08,294","{\an8}<i>My favorite thing</i>
<i>that I have discovered about you</i>"
"46","cue","00:02:08,378","00:02:10,588","{\an8}<i>is that you are authentic to yourself.</i>"
"47","cue","00:02:10,672","00:02:12,090","<i>You remind me of home.</i>"
"48","cue","00:02:12,173","00:02:15,009","<i>-The home is where the heart is, right?</i>
<i>-Oh, stop. You're making me blush.</i>"
"49","cue","00:02:15,093","00:02:17,428","<i>And Josh is, like, a smack talker.</i>"
"50","cue","00:02:17,512","00:02:19,806","<i>Josh is the same level as me.</i>"
"51","cue","00:02:19,889","00:02:24,811","<i>Like, his vibe is just, like,</i>
<i>strong and masculine and tough.</i>"
"52","cue","00:02:24,894","00:02:29,107","<i>I live by myself, and I'm, like, really,</i>
<i>like, paranoid at a certain time</i>"
"53","cue","00:02:29,190","00:02:31,234","{\an8}<i>that I'm just, like, looking at the wall--</i>"
"54","cue","00:02:31,317","00:02:33,736","{\an8}<i>Girl, you know you don't have to worry</i>
<i>about that with me.</i>"
"55","cue","00:02:33,820","00:02:36,114","{\an8}<i>[Jackelina] Good, fight demons</i>
<i>that try and come and get me.</i>"
"56","cue","00:02:36,197","00:02:39,200","<i>If Candyman comes,</i>
<i>just know I'm a little bit faster.</i>"
"57","cue","00:02:39,284","00:02:42,078","<i>-Wow, look at you, first daddy.</i>
<i>-I am first daddy.</i>"
"58","cue","00:02:42,162","00:02:43,329","<i>[both laugh]</i>"
"59","cue","00:02:43,413","00:02:46,749","<i>If you're my person, tell me.</i>
<i>Keep it real.</i>"
"60","cue","00:02:46,833","00:02:48,543","<i>We're in the ring right now.</i>"
"61","cue","00:02:48,626","00:02:50,420","<i>Like, we got Evander Holyfield</i>
<i>and Mike Tyson,</i>"
"62","cue","00:02:50,503","00:02:52,463","<i>but we just don't know</i>
<i>who's gonna win it first.</i>"
"63","cue","00:02:52,547","00:02:54,132","{\an8}<i>[Kwame] Who was your number one?</i>"
"64","cue","00:02:54,215","00:02:56,384","<i>-Jackie. Jackie.</i>
<i>-Oh, Jackie. Right, cool.</i>"
"65","cue","00:02:56,467","00:02:58,761","<i>[Marshall] Jackie and I for sure</i>
<i>have a strong connection.</i>"
"66","cue","00:02:58,845","00:03:00,180","<i>-We're here for one person.</i>
<i>-Yeah.</i>"
"67","cue","00:03:00,263","00:03:04,809","<i>Ever since I can remember,</i>
<i>I have been bullied </i><span style=""style2"">{\an8}by </i><i>my emotions,</i>"
"68","cue","00:03:04,893","00:03:06,853","<i>and bullied</i><span style=""style2"">{\an8} for</i><i> my emotions.</i>"
"69","cue","00:03:07,437","00:03:10,607","<i>In the pods, right off the bat,</i>
<i>I can be sensitive, and it's accepted.</i>"
"70","cue","00:03:10,690","00:03:13,234","<i>-I'm coming, baby!</i>
<i>-[pop music playing]</i>"
"71","cue","00:03:13,318","00:03:15,153","<i>♪ Just wanna feel this way… ♪</i>"
"72","cue","00:03:15,236","00:03:17,780","<i>My innermost hope</i>
<i>coming out of this process</i>"
"73","cue","00:03:17,864","00:03:20,950","<i>is everlasting love, and damn. [chuckles]</i>"
"74","cue","00:03:21,034","00:03:24,370","<i>Uh, that's crazy to say just ""forever,""</i>"
"75","cue","00:03:24,996","00:03:27,498","<i>uh, but I'm-- I'm ready for it.</i>"
"76","cue","00:03:27,582","00:03:29,125","<i>[Jackelina] Can I tell you something?</i>"
"77","cue","00:03:29,209","00:03:30,251","<i>Tell it to me.</i>"
"78","cue","00:03:30,335","00:03:32,170","{\an8}<i>I have a Roomba.</i>"
"79","cue","00:03:32,837","00:03:34,088","<i>And guess what his name is.</i>"
"80","cue","00:03:35,131","00:03:35,965","<i>Marshall.</i>"
"81","cue","00:03:36,049","00:03:37,300","<i>-[laughs]</i>
<i>-What?</i>"
"82","cue","00:03:37,383","00:03:39,719","<i>I totally forgot about that.</i>"
"83","cue","00:03:39,802","00:03:41,971","<i>I named him Marshall with two L's.</i>"
"84","cue","00:03:42,055","00:03:42,931","<i>Dead-ass.</i>"
"85","cue","00:03:43,014","00:03:44,307","<i>Jack, that is crazy.</i>"
"86","cue","00:03:44,390","00:03:46,392","<i>[Jackelina] That is crazy.</i>
<i>It was meant to be.</i>"
"87","cue","00:03:46,476","00:03:49,604","<i>I got a human named Marshall,</i>
<i>and I got a robot named Marshall.</i>"
"88","cue","00:03:49,687","00:03:50,813","<i>I'm Marshalled out.</i>"
"89","cue","00:03:50,897","00:03:52,398","<i>-Not yet.</i>
<i>-[Jackelina laughs]</i>"
"90","cue","00:03:52,482","00:03:54,984","<i>Not yet. I want a little Marshall Jr.</i>"
"91","cue","00:03:55,068","00:03:57,528","<i>Oh, wow! Oh.</i>"
"92","cue","00:03:57,612","00:04:00,990","<i>[laughs] I would be a good mom.</i>"
"93","cue","00:04:01,074","00:04:03,701","<i>But I just don't wanna</i>
<i>raise my kid too hard. You feel me?</i>"
"94","cue","00:04:03,785","00:04:04,869","<i>Yes.</i>"
"95","cue","00:04:04,953","00:04:07,497","<i>[Jackelina] That's one thing about me.</i>
<i>I was raised strict as shit.</i>"
"96","cue","00:04:07,580","00:04:09,832","<i>And I'm like,</i>
<i>I don't wanna raise my kid too strict</i><span style=""style2"">,</i>"
"97","cue","00:04:09,916","00:04:12,877","<i>to where my kid feels like</i>
<i>he can't trust me 'cause…</i>"
"98","cue","00:04:14,254","00:04:16,130","<i>There's a lot of things</i>
<i>I don't tell my parents</i>"
"99","cue","00:04:16,214","00:04:18,758","<i>because I feel like my parents are so,</i>
<i>like, hard, you know.</i>"
"100","cue","00:04:23,263","00:04:24,847","<i>[Marshall sighs]</i>"
"101","cue","00:04:24,931","00:04:28,643","<i>Uh, I am afraid that I will…</i>"
"102","cue","00:04:30,645","00:04:33,314","<i>I'll raise my kids,</i>
<i>like, how my dad raised me.</i>"
"103","cue","00:04:34,524","00:04:35,483","<i>[Jackelina] Hmm.</i>"
"104","cue","00:04:35,566","00:04:38,069","<i>Honestly, I was raised with a lot of love.</i>"
"105","cue","00:04:38,152","00:04:42,490","<i>Uh, but my dad was not very nurturing in…</i>"
