"index","type","start","end","text"
"0","cue","00:00:06,006","00:00:09,300","<i>-[dramatic music playing]</i>
<i>-[Zack] Bliss, I really do love you.</i>"
"1","cue","00:00:09,384","00:00:11,386","<i>[sobbing]</i>"
"2","cue","00:00:11,469","00:00:15,181","<i>-Are you breaking up with me? [chuckles]</i>
<i>-I can't marry you. I'm sorry.</i>"
"3","cue","00:00:16,516","00:00:18,268","<i>Irina, will you marry me?</i>"
"4","cue","00:00:18,768","00:00:21,021","<i>Zack, easiest yes of my life.</i>"
"5","cue","00:00:21,104","00:00:22,397","<i>[both laugh]</i>"
"6","cue","00:00:23,231","00:00:24,357","{\an8}<i>Brett!</i>"
"7","cue","00:00:24,441","00:00:26,026","{\an8}<i>[laughs, gasps]</i>"
"8","cue","00:00:26,109","00:00:28,278","{\an8}<i>-[Brett] Oh.</i>
<i>-Mmm!</i>"
"9","cue","00:00:28,361","00:00:30,780","{\an8}<i>-You're so handsome.</i>
<i>-Thank you. Yeah, you're beautiful.</i>"
"10","cue","00:00:30,864","00:00:31,740","{\an8}<i>Thank you.</i>"
"11","cue","00:00:32,240","00:00:35,118","{\an8}<i>-Will you marry me, Jackie?</i>
<i>-Of course I'll marry you.</i>"
"12","cue","00:00:35,201","00:00:36,995","{\an8}<i>-I love you.</i>
<i>-I love you too.</i>"
"13","cue","00:00:37,620","00:00:39,289","<i>[dance music playing]</i>"
"14","cue","00:00:39,372","00:00:42,125","<i>I don't think I've ever had this level</i>
<i>of attraction with somebody,</i>"
"15","cue","00:00:42,208","00:00:44,002","<i>because it didn't start physically.</i>"
"16","cue","00:00:44,711","00:00:47,380","<i>This is setting the tone</i>
<i>for the rest of our lives.</i>"
"17","cue","00:00:47,464","00:00:49,716","<i>-[laughs]</i>
<i>-[Chelsea] And it's good.</i>"
"18","cue","00:00:50,216","00:00:52,135","<i>I wanna cherish this forever.</i>"
"19","cue","00:00:52,218","00:00:53,970","<i>I was all-in with you.</i>"
"20","cue","00:00:54,054","00:00:55,346","<i>Like, I still care about you.</i>"
"21","cue","00:00:56,139","00:00:59,517","<i>-Would you have rather been with her?</i>
<i>-No, I'm right where I need to be.</i>"
"22","cue","00:00:59,601","00:01:02,353","<i>Then let it go. Let it fucking go, Kwame.</i>"
"23","cue","00:01:02,437","00:01:03,396","<i>♪ Fighting… ♪</i>"
"24","cue","00:01:03,480","00:01:04,355","<i>[Jackelina sobbing]</i>"
"25","cue","00:01:04,439","00:01:07,358","<i>[Jackelina] I'm in my emotions.</i>
<i>I'm thinking about home.</i>"
"26","cue","00:01:07,442","00:01:10,945","<i>I can't go back</i>
<i>to that shit, man. [sobbing]</i>"
"27","cue","00:01:11,905","00:01:13,573","<i>Needs lime juice.</i>
<i>Gonna get some. [chuckles]</i>"
"28","cue","00:01:13,656","00:01:15,825","<i>[Jackelina] Irina hates her man.</i>
<i>I know it.</i>"
"29","cue","00:01:15,909","00:01:17,577","<i>Oh, my God. You're the worst.</i>"
"30","cue","00:01:17,660","00:01:21,122","<i>I'm so drained</i>
<i>from, like, this relationship.</i>"
"31","cue","00:01:21,206","00:01:23,833","<i>I think we should call it.</i>
<i>I don't think it's gonna work out.</i>"
"32","cue","00:01:23,917","00:01:25,794","<i>♪ For tomorrow… ♪</i>"
"33","cue","00:01:25,877","00:01:28,630","<i>Would you, if you had the chance,</i>
<i>like, explore things with Bliss?</i>"
"34","cue","00:01:28,713","00:01:30,423","<i>♪ Never surrender ♪</i>"
"35","cue","00:01:30,507","00:01:31,800","<i>I made the wrong choice.</i>"
"36","cue","00:01:31,883","00:01:34,677","<i>-[sighs]</i>
<i>-You know I did, and I do too.</i>"
"37","cue","00:01:36,930","00:01:39,808","<i>-[""With You"" by Mar G Rock playing]</i>
<i>-</i><span style=""style2"">♪ Ah, how can I sleep at night? ♪</i>"
"38","cue","00:01:39,891","00:01:43,061","<i>♪ I feel so lost when I'm not with you… ♪</i>"
"39","cue","00:01:43,144","00:01:45,355","{\an8}<i>I'm sad about leaving Mexico.</i>"
"40","cue","00:01:45,438","00:01:47,107","{\an8}<i>[Micah] That thing looks extremely heavy.</i>"
"41","cue","00:01:47,190","00:01:49,901","{\an8}<i>Good thing you only have one bag,</i>
<i>so you can help me with mine.</i>"
