"index","type","start","end","text"
"0","cue","00:00:06,006","00:00:09,092","<i>-[""I Got a Secret"" playing]</i>
<i>-</i><span style=""style2"">♪ I got a secret ♪</i>"
"1","cue","00:00:09,759","00:00:12,095","{\an8}<i>♪ How can you tell? ♪</i>"
"2","cue","00:00:12,804","00:00:14,973","<i>♪ I'll keep the secret… ♪</i>"
"3","cue","00:00:16,641","00:00:18,560","<i>[Josh] The other day, I walked in.</i>"
"4","cue","00:00:19,269","00:00:20,145","<i>Saw you.</i>"
"5","cue","00:00:20,895","00:00:23,231","{\an8}<i>I should have told you how I felt.</i>"
"6","cue","00:00:23,314","00:00:24,232","<i>Yeah.</i>"
"7","cue","00:00:25,066","00:00:27,444","{\an8}<i>I haven't talked to Josh</i>
<i>since Chelsea's party.</i>"
"8","cue","00:00:27,527","00:00:30,697","<i>That was the first time</i>
<i>seeing him physically,</i>"
"9","cue","00:00:30,780","00:00:33,533","<i>and I was immediately attracted to Josh.</i>"
"10","cue","00:00:34,534","00:00:36,870","<i>Seeing you-- First, I didn't even see you.</i>"
"11","cue","00:00:36,953","00:00:38,455","<i>-I heard your voice.</i>
<i>-[laughs]</i>"
"12","cue","00:00:38,538","00:00:40,040","<i>And your voice is so distinctive.</i>"
"13","cue","00:00:40,123","00:00:42,751","<i>Like, I'd gotten so used to it</i>
<i>that I instantly knew it was you,</i>"
"14","cue","00:00:42,834","00:00:46,254","<i>'cause I went back to the pods,</i>
<i>and all the hairs on my body stood up.</i>"
"15","cue","00:00:46,337","00:00:47,964","<i>My nipple got hard. ""Ooh, that's Josh.""</i>"
"16","cue","00:00:48,048","00:00:51,593","<i>-What? What?</i>
<i>-[both laughing]</i>"
"17","cue","00:00:51,676","00:00:55,972","<i>And I was like-- I was like--</i>
<i>I was like, ""That's Josh.""</i>"
"18","cue","00:00:56,056","00:00:58,850","<i>And then, like, you came up to me.</i>
<i>We had, you know…</i>"
"19","cue","00:00:58,933","00:01:00,560","<i>-Thought you were gonna pop off on me.</i>
<i>-No.</i>"
"20","cue","00:01:00,643","00:01:03,146","<i>Especially when you came in,</i>
<i>you looked, like, upset and then--</i>"
"21","cue","00:01:03,229","00:01:06,441","<i>Oh, I was livid when I walked in.</i>
<i>I was ready to whoop ass more.</i>"
"22","cue","00:01:06,524","00:01:09,778","<i>-I was, like, smiling. You were like…</i>
<i>-[laughing]</i>"
"23","cue","00:01:09,861","00:01:12,697","<i>You're a strong woman.</i>
<i>You could be cussing me out.</i>"
